round_trip_bps,period,sharpe,cagr,mdd
0,Discovery_All,1.315782045725129,0.5737229593415487,-0.296162606666419
0,Holdout_All,1.6609777569598025,0.556180808134725,-0.1816099286323507
0,Reserve_All,0.792703309032183,0.17553149135650137,-0.3115823229762671
0,PreReserve_2020_2024,1.4101044790321102,0.5662973391088459,-0.296162606666419
0,Live_2020_end,1.3119978923969107,0.4814452799276272,-0.3115823229762671
20,Discovery_All,1.2522225578392914,0.5333916268955503,-0.3244088546414843
20,Holdout_All,1.6094278214841817,0.5330140481220074,-0.18409181301951694
20,Reserve_All,0.6738892043508017,0.1426442307755158,-0.3239918640326189
20,PreReserve_2020_2024,1.3512096221529546,0.5328817643565382,-0.3244088546414843
20,Live_2020_end,1.24567233899689,0.44794560679421824,-0.3244088546414843
50,Discovery_All,1.1564955832389587,0.47475252802954504,-0.3657567056381207
50,Holdout_All,1.5316245208229164,0.49886676485608517,-0.18780522463481497
50,Reserve_All,0.49535293789592916,0.09497197478866704,-0.3422107169573675
50,PreReserve_2020_2024,1.2624588075312397,0.4840302730462127,-0.3657567056381207
50,Live_2020_end,1.1457541848869432,0.39905101952898514,-0.3657567056381207
100,Discovery_All,0.996149418327188,0.3817813785819444,-0.4292439758013824
100,Holdout_All,1.4009003197580345,0.4435277876866328,-0.19974965627424202
100,Reserve_All,0.1983158529120496,0.019751355695850625,-0.3715489437374301
100,PreReserve_2020_2024,1.1136777122157697,0.40589404328615575,-0.4292439758013824
100,Live_2020_end,0.9783810245677075,0.3210497542671562,-0.4292439758013824
