regime,days,sharpe,cagr,classification
Downtrend,385,0.547434991227434,0.159593919725308,effective
Neutral,1021,1.5628889045987375,0.4142905130975525,effective
Uptrend,860,1.493300826455524,0.6438704156489898,effective
