window_days,valid_points,median_sharpe,p10_sharpe,p90_sharpe,share_positive_sharpe,median_cagr,p10_cagr,p90_cagr,share_positive_cagr
90,2135,1.4816092845226994,-2.0537841602926674,3.273847563980401,0.6593115622241836,0.24967233449957882,-0.4120962079892305,2.4303524910256704,0.6509267431597529
180,2087,1.2723442601656085,-0.9734979932020684,2.7720293102430316,0.6972639011473963,0.3792179687711734,-0.22635303680195984,1.5569773934774622,0.6407766990291263
365,1902,1.350995836328999,0.25374277160694664,2.0427238053709442,0.7833186231244483,0.35429648397907165,0.027598971320586196,1.1815938708011138,0.7683142100617829
