lookback,q,disc_sh,hold_sh,reserve_sh
24,0.55,0.7089861314203152,1.2427924625195268,-0.8811937994669415
24,0.6,0.8137675872709551,1.1695142249229704,-0.4489867325083304
24,0.65,0.4735959763678824,1.2767889612544014,-0.17769911156301044
24,0.7,0.3749144510218043,1.4610349753741732,0.026264177314370155
24,0.75,0.9152722516886003,1.7836398397195006,0.23078845692417546
24,0.8,1.084786032817067,1.5321521411697463,0.05641196859413597
32,0.55,0.6373756653784284,1.6720559847073502,-0.4020394473736453
32,0.6,0.8808874677036668,1.3884185834162353,-0.17979543073951285
32,0.65,0.8918772366473771,1.3438685796029481,0.23831568375069453
32,0.7,1.273976266563359,1.8409426607462611,0.3993033395973257
32,0.75,1.3083203096155342,1.694489761470136,-0.04507890703172149
32,0.8,1.249771729593036,1.4154678189388952,0.2124315880765828
40,0.55,1.1780146771012288,1.5834729001993313,-0.26056181412997037
40,0.6,1.1795348362353892,1.575764821229893,-0.29527899473773694
40,0.65,1.1069838316421494,1.5200856101155507,-0.2157821145878355
40,0.7,1.2522225578392914,1.6094278214841817,0.6738892043508017
40,0.75,1.0730079845852902,1.612599847021123,0.6758684217797358
40,0.8,0.7832732586315941,1.6795343979623283,0.7145210146522003
48,0.55,0.8784930965115904,1.4059195335871482,0.42560388028194934
48,0.6,0.9313225143795086,1.5689605968223852,0.5810240458163781
48,0.65,0.995096657002978,1.4933498677202925,0.41893577867864623
48,0.7,1.2128318726596,1.544258103826876,0.9908624797512275
48,0.75,0.6790461055721396,1.3920213971899107,1.0558196909934334
48,0.8,0.6455327857079274,1.3073367370514273,0.983725541651918
56,0.55,1.1160949035025707,1.5127295503942917,0.3553415791709004
56,0.6,1.0533030795654723,1.3037218942665834,0.3928149495388615
56,0.65,0.7691113191241958,1.442708970542822,0.6621871385861186
56,0.7,0.7681922510322082,1.2342982264591522,0.2071984692420477
56,0.75,1.0735884280842658,1.3687763083464015,0.20768016569311223
56,0.8,0.6702834785654633,1.0845402208222552,0.5220223013945962
