trade_id,entry_time,exit_time,entry_reason,exit_reason,qty,avg_entry_price,avg_exit_price,buy_notional,sell_notional,fees,realized_pnl,return_pct,days_held
1,2019-04-02T23:59:59.999000+00:00,2019-09-26T23:59:59.999000+00:00,daily,risk_off,10.650007910000001,8464.592561671781,9145.780619523335,90147.97773673164,97402.6359410482,187.55061367777992,7067.1075906387705,7.831620542519382,177
2,2019-10-25T23:59:59.999000+00:00,2019-11-16T23:59:59.999000+00:00,daily,risk_off,1.7771220499999998,9144.767869103614,8662.734492970018,16251.368622315546,15394.736480752588,31.64610510306813,-888.2782466660246,-5.460406913616462,22
3,2020-01-10T23:59:59.999000+00:00,2020-03-10T23:59:59.999000+00:00,daily,risk_off,4.22607094,8857.581306061827,8591.686647543198,37432.76695623513,36309.07726676833,73.74184422300344,-1197.431533689807,-3.1956902886447205,60
