label,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,calmar,profit_factor,win_rate_pct,trades,avg_trade_pnl,fees_total,fee_drag_pct_per_year,turnover_per_year,avg_exposure,time_in_market_pct,total_return_pct,initial_cash,final_nav_mid
candidate,smart,32.8559,16.85,38.53,0.8053,0.7217,0.4373,1.4813,54.02,87,239.41,867.98,0.48,13.61,0.2415,56.52,203.99,10000.0,30398.67
candidate,base,35.688,17.24,36.06,0.822,0.7422,0.4781,1.5296,53.49,86,259.79,2451.29,1.32,13.16,0.2398,56.84,211.28,10000.0,31128.05
candidate,harsh,21.9724,13.25,39.87,0.6913,0.6167,0.3324,1.4478,51.16,86,183.34,2924.42,1.85,12.35,0.2211,56.49,143.18,10000.0,24317.73
baseline,smart,114.9068,45.88,35.09,1.3726,1.3225,1.3075,2.056,50.52,97,1446.04,4190.75,0.86,24.7,0.4021,53.51,1381.95,10000.0,148195.49
baseline,base,106.1535,42.97,36.25,1.307,1.2628,1.1854,2.0045,50.52,97,1275.21,10857.19,2.46,24.56,0.4028,53.53,1183.31,10000.0,128331.0
baseline,harsh,91.0416,37.45,35.9,1.1872,1.1423,1.0433,1.8918,50.0,98,954.32,13380.36,3.7,24.65,0.4012,53.43,869.09,10000.0,96908.67
