label,regime,total_return_pct,max_dd_pct,n_bars,n_days,sharpe,notes
candidate,SHOCK,-14.07,33.51,534,89.0,-1.4932,
candidate,BEAR,0.76,11.99,3966,661.0,0.8478,
candidate,CHOP,-7.89,30.16,1290,215.0,-0.4923,
candidate,TOPPING,-10.58,20.37,612,102.0,-3.2634,
candidate,BULL,228.36,39.87,7266,1211.0,1.4667,
candidate,NEUTRAL,3.85,17.2,1980,330.0,0.3976,
baseline,SHOCK,-23.27,29.61,534,89.0,-2.1657,
baseline,BEAR,0.78,18.82,3966,661.0,0.8486,
baseline,CHOP,2.05,32.23,1290,215.0,0.273,
baseline,TOPPING,-24.08,28.61,612,102.0,-3.644,
baseline,BULL,1301.44,35.61,7266,1211.0,2.2403,
baseline,NEUTRAL,15.41,23.89,1980,330.0,0.934,
