scenario,model,total_score,return_term,mdd_penalty,sharpe_term,profit_factor_term,trade_count_term,reject_term,residual
smart,candidate,32.855900000000005,42.125,-23.118,6.4424,2.4065000000000003,5.0,0.0,0.0
base,candidate,35.687999999999995,43.099999999999994,-21.636,6.576,2.6480000000000006,5.0,0.0,0.0
harsh,candidate,21.972400000000004,33.125,-23.921999999999997,5.5304,2.239,5.0,0.0,0.0
smart,baseline,114.9068,114.7,-21.054000000000002,10.9808,5.28,5.0,0.0,0.0
base,baseline,106.1535,107.425,-21.75,10.456,5.022500000000001,5.0,0.0,0.0
harsh,baseline,91.0416,93.625,-21.54,9.4976,4.459,5.0,0.0,0.0
