fold,threshold,auc,log_loss,sharpe,cagr,mdd,end_equity,bar_count,signal
1,0.7354650264072181,0.7647058823529411,0.5849474581399324,0.5471483011185946,0.13542173240088617,-0.35816839454264293,12102.651388534774,3294,imbalance_ratio_base
2,0.7053638238221653,0.7777777777777778,0.5076831175340523,1.673563919523555,0.6852188711099969,-0.29953068069544453,21844.29651932727,3282,imbalance_ratio_base
3,0.7638295018015532,0.8958333333333334,0.4755300250756388,1.8344830414129036,0.669690424778236,-0.13236946834247343,16687.142704082748,2190,imbalance_ratio_base
4,0.7711788968312182,0.6904761904761905,0.6136217151463907,0.16606607662751888,0.013890490068299455,-0.10838399637694351,10092.136083583608,1458,imbalance_ratio_base
1,0.7161185404161897,0.7303921568627451,0.5972955790563771,0.5294555186316824,0.12841416826679009,-0.3581683945426426,11990.587462007674,3294,ema12_imbalance_ratio_base
2,0.7048089693417956,0.8080808080808081,0.5331997582984043,1.70282487288893,0.7006778484145237,-0.29953068069544453,22144.983703362606,3282,ema12_imbalance_ratio_base
3,0.7432716704655687,0.8819444444444445,0.5028421061645828,1.7965099373724691,0.6572892792842255,-0.13236946834247365,16563.344610428147,2190,ema12_imbalance_ratio_base
4,0.7630869521634837,0.7619047619047618,0.5820957910086725,0.22780899088674175,0.024001229285465442,-0.10088867970449733,10158.935069432107,1458,ema12_imbalance_ratio_base
1,0.7148300920237765,0.7254901960784313,0.598889568312395,0.5471483011185946,0.13542173240088617,-0.35816839454264293,12102.651388534774,3294,ema28_imbalance_ratio_base
2,0.7116370054490344,0.8080808080808081,0.5367120009877026,1.70282487288893,0.7006778484145237,-0.29953068069544453,22144.983703362606,3282,ema28_imbalance_ratio_base
3,0.7461199652037143,0.8680555555555556,0.5100047117661544,1.8365758732484907,0.6782108820268495,-0.13236946834247365,16772.200074004406,2190,ema28_imbalance_ratio_base
4,0.7566325813970095,0.8095238095238095,0.5795244553927961,0.22780899088674175,0.024001229285465442,-0.10088867970449733,10158.935069432107,1458,ema28_imbalance_ratio_base
1,0.7208803630578383,0.7205882352941176,0.6007218316422624,0.5471483011185946,0.13542173240088617,-0.35816839454264293,12102.651388534774,3294,osc_12_28_imbalance_ratio_base
2,0.7088475870800426,0.8518518518518519,0.5150721243235685,1.70282487288893,0.7006778484145237,-0.29953068069544453,22144.983703362606,3282,osc_12_28_imbalance_ratio_base
3,0.7425291456839666,0.9166666666666666,0.48178328370840945,1.8492833371595665,0.6720153952952483,-0.13134745083413157,16710.35229121981,2190,osc_12_28_imbalance_ratio_base
4,0.7611989560184451,0.7619047619047618,0.5769803161526204,0.22780899088674175,0.024001229285465442,-0.10088867970449733,10158.935069432107,1458,osc_12_28_imbalance_ratio_base
1,0.7194752007739724,0.7205882352941176,0.5999156054976886,0.5471483011185946,0.13542173240088617,-0.35816839454264293,12102.651388534774,3294,pos_count4_imbalance_ratio_base
2,0.7078173899064246,0.8417508417508417,0.5238049180538963,1.70282487288893,0.7006778484145237,-0.29953068069544453,22144.983703362606,3282,pos_count4_imbalance_ratio_base
3,0.7613085656965621,0.8819444444444445,0.5058245242877406,1.880015588401675,0.6915824049504589,-0.1323694683424731,16905.683299627104,2190,pos_count4_imbalance_ratio_base
4,0.7754555890915635,0.8333333333333334,0.5584850203131387,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,9889.008977112977,1458,pos_count4_imbalance_ratio_base
1,0.7354419894893378,0.7647058823529411,0.5851098268787706,0.5471483011185946,0.13542173240088617,-0.35816839454264293,12102.651388534774,3294,imbalance_ratio_quote
2,0.7050907383363714,0.7777777777777778,0.5077378282692511,1.673563919523555,0.6852188711099969,-0.29953068069544453,21844.29651932727,3282,imbalance_ratio_quote
3,0.7637400575111175,0.8958333333333334,0.47575227918242224,1.8344830414129036,0.669690424778236,-0.13236946834247343,16687.142704082748,2190,imbalance_ratio_quote
4,0.7708742978130059,0.6904761904761905,0.6135375994709356,0.16606607662751888,0.013890490068299455,-0.10838399637694351,10092.136083583608,1458,imbalance_ratio_quote
1,0.7161453650553348,0.7303921568627451,0.597280725489407,0.5294555186316824,0.12841416826679009,-0.3581683945426426,11990.587462007674,3294,ema12_imbalance_ratio_quote
2,0.7051351312782155,0.8080808080808081,0.5332741358311778,1.70282487288893,0.7006778484145237,-0.29953068069544453,22144.983703362606,3282,ema12_imbalance_ratio_quote
3,0.7431569248041962,0.8819444444444445,0.5028920068885195,1.7965099373724691,0.6572892792842255,-0.13236946834247365,16563.344610428147,2190,ema12_imbalance_ratio_quote
4,0.7630840227218645,0.7619047619047618,0.5821208261584119,0.22780899088674175,0.024001229285465442,-0.10088867970449733,10158.935069432107,1458,ema12_imbalance_ratio_quote
