signal,measurement,operator,aggregate_sharpe,aggregate_cagr,aggregate_mdd,delta_sharpe_vs_price,delta_end_equity_vs_price,positive_folds_vs_price,avg_auc,delta_avg_auc_vs_price,avg_log_loss,delta_avg_log_loss_vs_price,pass_vs_price_model
ema28_vol_surprise_quote_28,vol_surprise_quote_28,ema28,1.2099717380669692,0.3909323840830701,-0.35816839454264304,0.015838951623645237,946.1076467121675,1,0.8247190921823274,0.015581232492997255,0.5548684624832102,0.001231923773142296,False
pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,1.201580288112726,0.38718666983908956,-0.35816839454264293,0.007447501669402001,363.43836179391656,1,0.8194042137056844,0.010266354016354229,0.5461155365047727,-0.007521002205295169,False
pos_count4_net_quote_norm_28,net_quote_norm_28,pos_count4,1.201580288112726,0.38718666983908956,-0.35816839454264293,0.007447501669402001,363.43836179391656,1,0.8194042137056844,0.010266354016354229,0.5461155365047727,-0.007521002205295169,False
osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,1.1944929353502303,0.38373509941185113,-0.35816839454264293,0.0003601489069062769,-168.39461850701628,1,0.8127528789293494,0.0036150192400192793,0.5436393889567153,-0.009997149753352641,False
osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,1.1944929353502303,0.38373509941185113,-0.35816839454264293,0.0003601489069062769,-168.39461850701628,1,0.8127528789293494,0.0036150192400192793,0.5437345576406518,-0.009901981069416088,False
pos_count4_vol_surprise_quote_28,vol_surprise_quote_28,pos_count4,1.194132786443324,0.3848313860503805,-0.35816839454264293,0.0,0.0,0,0.8082961088475795,-0.0008417508417506436,0.5528214342731688,-0.0008151044368991389,False
ema28_imbalance_ratio_base,imbalance_ratio_base,ema28,1.194132786443324,0.3848313860503805,-0.35816839454264293,0.0,0.0,0,0.802787592309651,-0.006350267379679142,0.556282684114762,0.0026461454046941,False
osc_12_28_vol_surprise_quote_28,vol_surprise_quote_28,osc_12_28,1.194132786443324,0.3848313860503805,-0.35816839454264293,0.0,0.0,0,0.8125649881164588,0.0034271284271286673,0.5538321336245765,0.00019559491450860111,False
ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,1.194132786443324,0.3848313860503805,-0.35816839454264293,0.0,0.0,0,0.802787592309651,-0.006350267379679142,0.5562964742651261,0.0026599355550581683,False
ema12_vol_surprise_quote_28,vol_surprise_quote_28,ema12,1.1891759212558237,0.3820725186485947,-0.3581683945426426,-0.00495686518750027,-422.84326668762515,0,0.8210426215940921,0.011904761904761973,0.5540643033757588,0.00042776466569094396,False
ema28_net_quote_norm_28,net_quote_norm_28,ema28,1.1873957397146888,0.38056701167315077,-0.3581683945426426,-0.0067370467286351765,-652.2868732015049,0,0.791889925161984,-0.017247934527346187,0.5546470859041084,0.0010105471940404787,False
ema12_net_quote_norm_28,net_quote_norm_28,ema12,1.1847682304774874,0.3794420308938036,-0.3581683945426426,-0.00936455596583663,-823.1396303825022,0,0.802000219279631,-0.007137640409699109,0.5510750576222913,-0.0025614810877766514,False
pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,1.182796939688419,0.37920164409918233,-0.35816839454264293,-0.011335846754904955,-859.5814303076986,1,0.8194042137056844,0.010266354016354229,0.547007517038116,-0.006629021671951896,False
net_quote_norm_28,net_quote_norm_28,level,1.1820719687524017,0.3790595371171992,-0.35816839454264293,-0.012060817690922265,-881.1134083159341,1,0.7771561907591319,-0.03198166893019827,0.5551590766937811,0.001522537983713157,False
vol_surprise_quote_28,vol_surprise_quote_28,level,1.1820719687524017,0.3790595371171992,-0.35816839454264293,-0.012060817690922265,-881.1134083159341,1,0.8068756543021249,-0.0022622053872052295,0.5463384551738404,-0.007298083536227518,False
ema12_imbalance_ratio_base,imbalance_ratio_base,ema12,1.1806919113483734,0.37836498808097563,-0.3581683945426426,-0.013440875094950622,-986.2341973877119,0,0.7955805428231899,-0.013557316866140257,0.5538583086320091,0.00022176992194122835,False
ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,1.1806919113483734,0.37836498808097563,-0.3581683945426426,-0.013440875094950622,-986.2341973877119,0,0.7955805428231899,-0.013557316866140257,0.5538919235918791,0.0002553848818112048,False
osc_12_28_net_quote_norm_28,net_quote_norm_28,osc_12_28,1.1794501722082773,0.3779357847316107,-0.35816839454264293,-0.014682614235046687,-1051.0976403736713,1,0.781367597544068,-0.027770262145262126,0.5479146023920971,-0.005721936317970799,False
imbalance_ratio_base,imbalance_ratio_base,level,1.1772237991391457,0.377325518861372,-0.35816839454264293,-0.016908987304178336,-1143.1967946671866,0,0.7821982959850606,-0.02693956370426953,0.5454455789740036,-0.008190959736064318,False
imbalance_ratio_quote,imbalance_ratio_quote,level,1.1772237991391457,0.377325518861372,-0.35816839454264293,-0.016908987304178336,-1143.1967946671866,0,0.7821982959850606,-0.02693956370426953,0.5455343834503448,-0.008102155259723132,False
