signal,measurement,operator,spearman_delta_ratio,auc_churn_raw,auc_churn_oriented,auc_delta_win_raw,auc_delta_win_oriented,delta_avg_auc_churn_vs_price,delta_avg_logloss_churn_vs_price,delta_avg_auc_delta_win_vs_price,delta_avg_logloss_delta_win_vs_price
imbalance_ratio_base,imbalance_ratio_base,level,0.03455260982478464,0.6257531175563962,0.6257531175563962,0.5052498418722327,0.5052498418722327,-0.02693956370426953,-0.008190959736064318,0.0,-7.286137249096214e-10
ema12_imbalance_ratio_base,imbalance_ratio_base,ema12,0.022504891326898098,0.5509317640465181,0.5509317640465181,0.515876027830487,0.515876027830487,-0.013557316866140257,0.00022176992194122835,0.0,-1.1915070041723652e-09
ema28_imbalance_ratio_base,imbalance_ratio_base,ema28,-0.006627096301954723,0.5471486619027603,0.5471486619027603,0.5047438330170778,0.5047438330170778,-0.006350267379679142,0.0026461454046941,0.0,-9.937090039713325e-10
osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,0.09704881964488808,0.5712484237074402,0.5712484237074402,0.5329538266919671,0.5329538266919671,0.0036150192400192793,-0.009997149753352641,-0.007873376623376727,-0.0019055641090526265
pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,0.013082515401511683,0.5496707299985989,0.5496707299985989,0.5048703352308666,0.5048703352308666,0.010266354016354229,-0.006629021671951896,0.0,2.4161974643277517e-09
imbalance_ratio_quote,imbalance_ratio_quote,level,0.034790925697579286,0.6253327728737564,0.6253327728737564,0.505123339658444,0.505123339658444,-0.02693956370426953,-0.008102155259723132,0.0,-6.925923168310533e-10
ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,0.024183741537924672,0.5517724534117977,0.5517724534117977,0.5166350411132195,0.5166350411132195,-0.013557316866140257,0.0002553848818112048,0.0,-1.1571424929357477e-09
ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,-0.006016411877918439,0.5470085470085471,0.5470085470085471,0.505123339658444,0.505123339658444,-0.006350267379679142,0.0026599355550581683,0.0,-9.874321360570093e-10
osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,0.09827018849296064,0.5711083088132268,0.5711083088132268,0.5333333333333333,0.5333333333333333,0.0036150192400192793,-0.009901981069416088,-0.007873376623376727,-0.0019161417553926752
pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,0.01578059726702082,0.5554154406613423,0.5554154406613423,0.5036053130929792,0.5036053130929792,0.010266354016354229,-0.007521002205295169,0.0,2.4190466296758473e-09
net_quote_norm_28,net_quote_norm_28,level,0.028511728013498893,0.6180467983746673,0.6180467983746673,0.502213788741303,0.502213788741303,-0.03198166893019827,0.001522537983713157,-0.0075255102040816535,0.0007802829145977519
ema12_net_quote_norm_28,net_quote_norm_28,ema12,0.059784302856917916,0.5757321003222642,0.5757321003222642,0.5534471853257432,0.5534471853257432,-0.007137640409699109,-0.0025614810877766514,-0.01861017134126386,0.000943500123066543
ema28_net_quote_norm_28,net_quote_norm_28,ema28,0.03565056509587426,0.5824576152445005,0.5824576152445005,0.5415559772296015,0.5415559772296015,-0.017247934527346187,0.0010105471940404787,-0.015746753246753342,0.0012297691007626677
osc_12_28_net_quote_norm_28,net_quote_norm_28,osc_12_28,0.088701380636197,0.5493905002101723,0.5493905002101723,0.5459835547122075,0.5459835547122075,-0.027770262145262126,-0.005721936317970799,-0.018099967259631256,-0.0017441239326669855
pos_count4_net_quote_norm_28,net_quote_norm_28,pos_count4,0.01578059726702082,0.5554154406613423,0.5554154406613423,0.5036053130929792,0.5036053130929792,0.010266354016354229,-0.007521002205295169,0.0,2.4190466296758473e-09
vol_surprise_quote_28,vol_surprise_quote_28,level,0.014002121436831931,0.44388398486759145,0.5561160151324085,0.49968374446552816,0.5003162555344718,-0.0022622053872052295,-0.007298083536227518,-0.011989795918367463,0.00018469624861294776
ema12_vol_surprise_quote_28,vol_surprise_quote_28,ema12,0.10351952115532131,0.5268320022418382,0.5268320022418382,0.5445920303605313,0.5445920303605313,0.011904761904761973,0.00042776466569094396,0.002450980392156854,3.2804912840633804e-05
ema28_vol_surprise_quote_28,vol_surprise_quote_28,ema28,0.07856657258154606,0.5394423427210313,0.5394423427210313,0.5426944971537003,0.5426944971537003,0.015581232492997255,0.001231923773142296,-0.0076030412164866945,0.0005039232043804187
osc_12_28_vol_surprise_quote_28,vol_surprise_quote_28,osc_12_28,0.1320152905166241,0.4985287936107608,0.5014712063892393,0.5454775458570524,0.5454775458570524,0.0034271284271286673,0.00019559491450860111,0.0,-2.096952789187867e-07
pos_count4_vol_surprise_quote_28,vol_surprise_quote_28,pos_count4,0.0787686955085819,0.5084769510999019,0.5084769510999019,0.507843137254902,0.507843137254902,-0.0008417508417506436,-0.0008151044368991389,-0.018773191094619834,0.00039485233353420135
