signal,coef_mean,coef_std,nonzero_frac,positive_frac
ema12_imbalance_ratio_base,0.10159064380070557,0.038955177161554826,1.0,1.0
ema12_imbalance_ratio_quote,0.10154043522675052,0.03887025691422467,1.0,1.0
ema12_net_quote_norm_28,0.18415067960712916,0.06357185143942747,1.0,1.0
ema12_vol_surprise_quote_28,-0.013309034582776942,0.05195454124086018,0.5,0.25
ema28_imbalance_ratio_base,0.04820634660696433,0.04671115311315348,0.75,0.75
ema28_imbalance_ratio_quote,0.04820271504633598,0.04686165331438495,0.75,0.75
ema28_net_quote_norm_28,0.13893355193566714,0.0442024599338522,1.0,1.0
ema28_vol_surprise_quote_28,-0.0035523892842733475,0.07049494327533357,0.75,0.25
imbalance_ratio_base,0.26440707600717217,0.09204246468501502,1.0,1.0
imbalance_ratio_quote,0.2634508212134361,0.09159544878895794,1.0,1.0
net_quote_norm_28,0.2794580494080023,0.12877699288505864,1.0,1.0
osc_12_28_imbalance_ratio_base,0.13318551559044628,0.11663540272984856,0.75,0.75
osc_12_28_imbalance_ratio_quote,0.1329622431031053,0.11643978284999426,0.75,0.75
osc_12_28_net_quote_norm_28,0.15644815595763117,0.11783973665327815,0.75,0.75
osc_12_28_vol_surprise_quote_28,-0.02326488919639766,0.026962053230587767,0.5,0.0
pos_count4_imbalance_ratio_base,0.12183855013097106,0.07721412882886461,1.0,1.0
pos_count4_imbalance_ratio_quote,0.12203996518966652,0.07738776645035098,1.0,1.0
pos_count4_net_quote_norm_28,0.12203996518966652,0.07738776645035098,1.0,1.0
pos_count4_vol_surprise_quote_28,-0.010110630748420033,0.01304400756626053,0.5,0.0
vol_surprise_quote_28,-0.17001657294982284,0.11675498699103941,0.75,0.0
