close_time,nav_mid,nav_liq,cash,btc_qty,exposure
1546315199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546329599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546343999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546358399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546372799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546387199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546401599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546415999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546430399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546444799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546459199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546473599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546487999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546502399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546516799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546531199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546545599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546559999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546574399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546588799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546603199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546617599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546631999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546646399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546660799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546675199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546689599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546703999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546718399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546732799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546747199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546761599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546775999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546790399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546804799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546819199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546833599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546847999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546862399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546876799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546891199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546905599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546919999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546934399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546948799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546963199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546977599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1546991999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547006399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547020799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547035199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547049599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547063999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547078399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547092799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547107199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547121599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547135999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547150399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547164799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547179199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547193599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547207999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547222399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547236799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547251199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547265599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547279999999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547294399999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547308799999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547323199999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547337599999,9692.38,9692.38,9692.38,0.00000000,0.000000
1547351999999,9692.38,9692.38,9692.38,0.00000000,0.000000
