candidate_label,n_threshold,skipped_trade_episode_id,skipped_trade_was_win,skipped_trade_return_pct,skipped_trade_pnl_usd,native_top10_flag,unit_size_top10_flag
,2,7,1,11.474106,406.068644,0,0
,2,15,1,54.435789,2008.627954,1,1
,2,21,0,-15.904138,-377.370555,0,0
,2,25,0,-6.520204,-233.944206,0,0
,2,29,0,-1.274487,-62.109711,0,0
,2,32,0,-4.025621,-144.317829,0,0
,2,35,1,31.166486,2503.074315,1,1
,2,41,1,12.387284,973.606265,1,0
,2,47,0,-0.606459,-55.506307,0,0
,2,51,1,1.505412,88.844068,0,0
,2,57,0,-3.313349,-122.243573,0,0
,2,61,1,3.895314,405.362408,0,0
,2,64,1,1.156035,145.475251,0,0
,3,22,1,26.699288,843.268078,1,1
,3,26,1,19.830398,557.838561,0,1
,3,30,0,-1.8964,-64.197642,0,0
,3,34,0,-3.512873,-282.33567,0,0
,3,48,1,0.805463,37.161145,0,0
,3,58,1,15.875757,1340.070821,1,0
,4,31,0,-8.644289,-252.379376,0,0
,5,32,0,-4.025621,-144.317829,0,0
