episode_id,entry_time,exit_time,hold_bars,hold_days,exit_reason,realized_return_pct,mfe_pct,mae_pct,giveback_ratio,win_flag,unit_size_positive_contribution_rank_desc
1,2019-01-06T20:00:00Z,2019-01-10T20:00:00Z,24,4.0,latch_floor_exit,-10.293029,1.60751461795167,11.61958775675736,7.403070233423819,0,62
2,2019-02-18T04:00:00Z,2019-02-24T16:00:00Z,39,6.5,latch_floor_exit,0.97937,12.309799468702092,1.10290133254464,0.9204398087483011,1,25
3,2019-03-09T16:00:00Z,2019-06-04T04:00:00Z,519,86.5,latch_floor_exit,89.442988,117.93248279311436,8.486590596988984,0.24157462065046728,1,1
4,2019-06-14T16:00:00Z,2019-07-01T16:00:00Z,102,17.0,latch_floor_exit,23.65248,66.4220959550288,0.9925526498035592,0.6439064492030792,1,8
5,2019-07-09T04:00:00Z,2019-07-14T12:00:00Z,32,5.333333,latch_floor_exit,-15.778559,3.780348603740925,18.73338498925139,5.173837033014888,0,64
6,2019-08-04T16:00:00Z,2019-08-13T16:00:00Z,54,9.0,latch_floor_exit,-0.122106,12.556020821267728,1.6263280761998744,1.009724896265955,0,28
7,2020-01-06T04:00:00Z,2020-01-23T12:00:00Z,104,17.333333,latch_floor_exit,11.474106,21.86592999393052,1.099601432562234,0.47525186428453087,1,15
8,2020-01-29T00:00:00Z,2020-02-16T20:00:00Z,113,18.833333,latch_floor_exit,2.66926,10.723992790697556,4.112916791834207,0.7510945734395282,1,20
9,2020-04-06T20:00:00Z,2020-04-13T04:00:00Z,38,6.333333,latch_floor_exit,-8.308276,2.5650907327754098,9.598727082761032,4.238979383396121,0,59
10,2020-04-23T16:00:00Z,2020-05-10T04:00:00Z,99,16.5,latch_floor_exit,14.301411,33.5799498123184,1.9679478282101617,0.5741086249404189,1,13
11,2020-05-31T00:00:00Z,2020-06-11T20:00:00Z,71,11.833333,latch_floor_exit,-4.489027,6.92851289037604,6.123358577071595,1.6479062781618585,0,49
12,2020-07-23T00:00:00Z,2020-08-22T00:00:00Z,180,30.0,latch_floor_exit,20.907724,30.86081074670458,0.916808027234711,0.32251540079086877,1,9
13,2020-09-01T08:00:00Z,2020-09-03T16:00:00Z,14,2.333333,latch_floor_exit,-10.691102,0.9650343101265014,12.363504741663602,12.07846828637477,0,63
14,2020-09-19T12:00:00Z,2020-09-21T12:00:00Z,12,2.0,latch_floor_exit,-4.708225,0.2596893556146948,7.662947828475909,19.130219426419877,0,50
15,2020-10-09T12:00:00Z,2020-11-26T12:00:00Z,288,48.0,latch_floor_exit,54.435789,76.14448286887402,0.4457192360487814,0.2850987103853324,1,3
16,2020-12-15T04:00:00Z,2021-01-11T16:00:00Z,165,27.5,latch_floor_exit,61.808106,115.1373119457832,2.3035567922009488,0.4631791818354704,1,2
17,2021-02-06T04:00:00Z,2021-02-23T12:00:00Z,104,17.333333,latch_floor_exit,17.466698,48.00469530250809,5.263785555380729,0.6361460500909081,1,11
18,2021-03-09T04:00:00Z,2021-03-23T00:00:00Z,83,13.833333,latch_floor_exit,0.249926,14.7501475229355,1.6504176726409,0.983056033872788,1,27
19,2021-04-02T04:00:00Z,2021-04-07T12:00:00Z,32,5.333333,latch_floor_exit,-6.116354,0.1123404111118348,7.204568979403114,55.444824791598585,0,54
20,2021-04-10T08:00:00Z,2021-04-18T04:00:00Z,47,7.833333,latch_floor_exit,-9.243127,7.124282591054746,15.872899529253605,2.2974116175017647,0,61
21,2021-05-03T08:00:00Z,2021-05-13T00:00:00Z,58,9.666667,latch_floor_exit,-15.904138,1.1102026391124842,21.830767707576904,15.325437032570964,0,65
22,2021-07-25T08:00:00Z,2021-08-19T04:00:00Z,149,24.833333,latch_floor_exit,26.699288,38.622813395085984,2.4985857541868355,0.3087171634317822,1,6
23,2021-08-20T16:00:00Z,2021-08-26T08:00:00Z,34,5.666667,latch_floor_exit,-3.941674,3.55339781279016,4.525797273317066,2.1092689891945877,0,46
24,2021-09-03T16:00:00Z,2021-09-07T16:00:00Z,24,4.0,latch_floor_exit,-7.888355,4.582886330688796,15.331635899281617,2.721263507492319,0,58
25,2021-09-18T08:00:00Z,2021-09-20T04:00:00Z,11,1.833333,latch_floor_exit,-6.520204,0.3161984737146958,8.684175519814916,21.6206055437293,0,55
26,2021-10-03T20:00:00Z,2021-10-27T12:00:00Z,142,23.666667,latch_floor_exit,19.830398,37.22886635648426,3.9582272787775583,0.4673381184880995,1,10
27,2021-11-02T16:00:00Z,2021-11-16T04:00:00Z,81,13.5,latch_floor_exit,-5.050135,7.673240234316882,6.293071361293786,1.6581489495681865,0,51
28,2022-02-07T00:00:00Z,2022-02-17T20:00:00Z,65,10.833333,latch_floor_exit,-2.761635,8.241777962518636,5.336079547251668,1.3350775782311977,0,36
29,2022-03-24T16:00:00Z,2022-04-06T16:00:00Z,78,13.0,latch_floor_exit,-1.274487,7.822155827885173,3.393555931753673,1.1629329596652351,0,31
30,2022-07-18T08:00:00Z,2022-07-25T04:00:00Z,41,6.833333,latch_floor_exit,-1.8964,9.01985871550306,3.952641985407462,1.2102471956396086,0,32
31,2022-07-30T16:00:00Z,2022-08-04T20:00:00Z,31,5.166667,latch_floor_exit,-8.644289,0.1707348892177686,8.76173558519946,51.62989198988146,0,60
32,2022-08-11T04:00:00Z,2022-08-17T16:00:00Z,39,6.5,latch_floor_exit,-4.025621,3.542774493184795,4.569855599641672,2.1362904999299426,0,47
33,2022-10-25T20:00:00Z,2022-11-08T08:00:00Z,81,13.5,latch_floor_exit,-2.559221,5.834041632049544,4.693121421820743,1.4386703354910628,0,35
34,2022-12-13T12:00:00Z,2022-12-16T20:00:00Z,20,3.333333,latch_floor_exit,-3.512873,5.304052160579639,5.351397662350018,1.6622998593618856,0,42
35,2023-01-09T00:00:00Z,2023-02-09T04:00:00Z,187,31.166667,latch_floor_exit,31.166486,41.41603768804489,0.2732119892313387,0.24747784337185674,1,5
36,2023-02-16T04:00:00Z,2023-02-24T16:00:00Z,51,8.5,latch_floor_exit,-5.77804,1.994084186955129,7.735989869693564,3.8975908027347583,0,53
37,2023-03-14T16:00:00Z,2023-04-17T12:00:00Z,203,33.833333,latch_floor_exit,6.450492,11.70707948279452,13.88843570818172,0.4490092930965353,1,17
