removal_index,removal_pct,remaining_terminal_value,remaining_cagr,remaining_sharpe,remaining_net_pnl,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,24197.25,14.562093,0.824538,14197.25,0.0,0.0,0.0
1,1.54,21597.01,12.575835,0.730944,11597.01,2600.24,1.986258,0.093594
2,3.08,19021.79,10.398141,0.608049,9021.79,2575.22,2.177694,0.122895
3,4.62,16518.72,8.027624,0.516656,6518.72,2503.07,2.370517,0.091393
4,6.15,14510.09,5.894238,0.366351,4510.09,2008.63,2.133386,0.150305
5,7.69,12626.02,3.652417,0.14659,2626.02,1884.07,2.241821,0.219761
6,9.23,11192.63,1.748503,0.01569,1192.63,1433.39,1.903914,0.1309
7,10.77,9852.56,-0.228259,-0.075597,-147.44,1340.07,1.976762,0.091287
8,12.31,8628.95,-2.243114,-0.206841,-1371.05,1223.61,2.014855,0.131244
9,13.85,7655.34,-4.02715,-0.288228,-2344.66,973.61,1.784036,0.081387
10,15.38,6812.07,-5.734959,-0.505756,-3187.93,843.27,1.707809,0.217528
11,16.92,6008.22,-7.538506,-0.74747,-3991.78,803.85,1.803547,0.241714
12,18.46,5399.97,-9.044396,-0.854223,-4600.03,608.25,1.50589,0.106753
13,20.0,4842.13,-10.557462,-1.132318,-5157.87,557.84,1.513066,0.278095
