removal_index,removal_pct,remaining_terminal_value,remaining_cagr,remaining_sharpe,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,93096.81,40.950588,0.824538,0.0,0.0,0.0
1,1.54,49142.39,27.754995,0.718885,43954.42,13.195593,0.105653
2,3.08,30370.78,18.63805,0.59334,18771.61,9.116945,0.125545
3,4.62,19665.64,10.964958,0.450515,10705.14,7.673092,0.142825
4,6.15,13382.86,4.584918,0.288391,6282.78,6.38004,0.162124
5,7.69,10202.96,0.309592,0.14659,3179.9,4.275326,0.141801
6,9.23,8052.89,-3.276712,0.005343,2150.07,3.586304,0.141247
7,10.77,6450.05,-6.523591,-0.145714,1602.84,3.246879,0.151057
8,12.31,5216.27,-9.527421,-0.31298,1233.78,3.00383,0.167266
9,13.85,4314.26,-12.1318,-0.484569,902.01,2.604379,0.171589
10,15.38,3600.3,-14.543618,-0.676588,713.96,2.411818,0.192019
11,16.92,3064.96,-16.634112,-0.874609,535.34,2.090494,0.198021
12,18.46,2645.04,-18.502672,-1.087234,419.92,1.86856,0.212625
13,20.0,2314.09,-20.161502,-1.314658,330.95,1.65883,0.227424
