ledger_view,tested_window_max_removal_pct,base_terminal_value,base_cagr,base_sharpe,max_cliff_score_terminal,first_terminal_cliff_index,cliff_flag_terminal,max_cliff_score_cagr,first_cagr_cliff_index,cliff_flag_cagr,max_cliff_score_sharpe,first_sharpe_cliff_index,cliff_flag_sharpe,interpretation
native,20.0,24197.25,14.562093,0.824538,1.7465,0,False,1.2268,0,False,1.8475,0,False,smooth decay
unit_size,20.0,93096.81,40.950588,0.824538,6.2942,1,True,2.807,0,False,1.3821,0,False,single-point collapse
