candidate,window_hours,baseline_sharpe,n_windows_tested,sharpe_mean,sharpe_p5,sharpe_worst,cagr_native_worst
E0,24,1.137892,1333,1.137089,1.127330,1.110333,0.590555
E0,72,1.137892,3502,1.136868,1.121821,1.095954,0.577348
E0,168,1.137892,6910,1.136555,1.114170,1.073784,0.535023
E5,24,1.229858,1439,1.228776,1.218274,1.192171,0.636393
E5,72,1.229858,3759,1.228491,1.212139,1.160419,0.606668
E5,168,1.229858,7323,1.228065,1.204438,1.160419,0.586223
SM,24,0.816070,455,0.815812,0.797994,0.772860,0.170167
SM,72,0.816070,1235,0.815168,0.786853,0.762032,0.170167
SM,168,0.816070,2764,0.814176,0.774402,0.739434,0.150604
LATCH,24,0.825127,455,0.824858,0.806735,0.782558,0.136051
LATCH,72,0.825127,1235,0.824220,0.793143,0.771976,0.136051
LATCH,168,0.825127,2764,0.823233,0.784467,0.749684,0.121190
E0_plus_EMA1D21,24,1.183661,1209,1.182702,1.172366,1.155839,0.638639
E0_plus_EMA1D21,72,1.183661,3206,1.182552,1.167311,1.141226,0.624971
E0_plus_EMA1D21,168,1.183661,6567,1.182082,1.158221,1.118906,0.581220
E5_plus_EMA1D21,24,1.280058,1308,1.278881,1.267399,1.241749,0.689082
E5_plus_EMA1D21,72,1.280058,3451,1.278506,1.261771,1.209517,0.658221
E5_plus_EMA1D21,168,1.280058,6987,1.278049,1.253658,1.209517,0.636989
