candidate,K,baseline_sharpe,sharpe_mean,sharpe_p5,sharpe_p95,cagr_native_mean,cagr_native_p5,pct_sharpe_positive,n_trades_mean
E0,1,1.137892,1.137975,1.132590,1.146025,0.618358,0.613397,100.0,191.9
E0,2,1.137892,1.137614,1.128909,1.147402,0.617993,0.609913,100.0,191.8
E0,3,1.137892,1.137411,1.127031,1.148717,0.617777,0.607940,100.0,191.8
E5,1,1.229858,1.229654,1.223120,1.237466,0.672016,0.665657,100.0,206.9
E5,2,1.229858,1.229354,1.219337,1.239084,0.671734,0.662349,100.0,206.9
E5,3,1.229858,1.228936,1.217199,1.240010,0.671270,0.660269,100.0,206.8
SM,1,0.816070,0.816397,0.806109,0.844200,0.181638,0.179798,100.0,64.8
SM,2,0.816070,0.816250,0.799073,0.847807,0.181269,0.178017,100.0,64.6
SM,3,0.816070,0.816320,0.794252,0.860976,0.180848,0.177079,100.0,64.5
LATCH,1,0.825127,0.825435,0.814844,0.852778,0.145376,0.143942,100.0,64.8
LATCH,2,0.825127,0.825311,0.808029,0.856345,0.145094,0.142924,100.0,64.6
LATCH,3,0.825127,0.825441,0.803213,0.869655,0.144801,0.142070,100.0,64.5
E0_plus_EMA1D21,1,1.183661,1.183447,1.176892,1.191718,0.666977,0.659571,100.0,173.9
E0_plus_EMA1D21,2,1.183661,1.183307,1.173116,1.193948,0.666788,0.657251,100.0,173.8
E0_plus_EMA1D21,3,1.183661,1.183435,1.172131,1.195301,0.666675,0.655318,100.0,173.8
E5_plus_EMA1D21,1,1.280058,1.279799,1.270820,1.289365,0.725767,0.717895,100.0,187.9
E5_plus_EMA1D21,2,1.280058,1.279540,1.268409,1.290126,0.725341,0.715189,100.0,187.8
E5_plus_EMA1D21,3,1.280058,1.279210,1.266325,1.291417,0.724844,0.712518,100.0,187.8
