candidate,delay_bars,baseline_sharpe,sharpe,delta_sharpe,cagr_native,delta_cagr_native,delta_n_trades
E0,1,1.137892,1.106498,-0.031394,0.586286,-0.031993,-3
E0,2,1.137892,0.937781,-0.200111,0.444116,-0.174164,-19
E0,3,1.137892,0.887307,-0.250585,0.403397,-0.214882,-25
E0,4,1.137892,0.801680,-0.336212,0.333709,-0.284570,-28
E5,1,1.229858,1.178295,-0.051563,0.615661,-0.056665,-3
E5,2,1.229858,0.933241,-0.296617,0.410512,-0.261814,-19
E5,3,1.229858,0.866349,-0.363510,0.359665,-0.312661,-26
E5,4,1.229858,0.776432,-0.453426,0.294945,-0.377381,-33
SM,1,0.816070,0.849475,0.033405,0.184170,0.002222,0
SM,2,0.816070,0.828312,0.012242,0.179658,-0.002290,0
SM,3,0.816070,0.796436,-0.019634,0.170113,-0.011835,0
SM,4,0.816070,0.783053,-0.033017,0.160131,-0.021816,0
LATCH,1,0.825127,0.857006,0.031880,0.149125,0.003504,0
LATCH,2,0.825127,0.838738,0.013612,0.145748,0.000127,0
LATCH,3,0.825127,0.802471,-0.022655,0.136400,-0.009221,0
LATCH,4,0.825127,0.792292,-0.032835,0.130648,-0.014973,0
E0_plus_EMA1D21,1,1.183661,1.140559,-0.043102,0.623607,-0.043715,-3
E0_plus_EMA1D21,2,1.183661,0.945772,-0.237889,0.447249,-0.220073,-14
E0_plus_EMA1D21,3,1.183661,0.869540,-0.314121,0.385241,-0.282081,-20
E0_plus_EMA1D21,4,1.183661,0.798052,-0.385609,0.327415,-0.339907,-24
E5_plus_EMA1D21,1,1.280058,1.209384,-0.070674,0.650265,-0.075913,-3
E5_plus_EMA1D21,2,1.280058,0.955729,-0.324329,0.421859,-0.304319,-16
E5_plus_EMA1D21,3,1.280058,0.862804,-0.417254,0.349004,-0.377173,-22
E5_plus_EMA1D21,4,1.280058,0.768210,-0.511848,0.283131,-0.443046,-29
