v10_trade_id,v10_entry_ts,v10_exit_ts,v10_entry_price,v10_exit_price,v10_qty,v10_notional,v10_net_pnl,v10_gross_pnl,v10_fees_total,v10_return_pct,v10_bars_held,v10_days_held,v10_mfe_pct,v10_mae_pct,v10_entry_reason,v10_exit_reason,v10_entry_regime,v10_exit_regime,v10_holding_regime_mode,v10_worst_regime,v10_n_buy_fills,v11_trade_id,v11_entry_ts,v11_exit_ts,v11_entry_price,v11_exit_price,v11_qty,v11_notional,v11_net_pnl,v11_gross_pnl,v11_fees_total,v11_return_pct,v11_bars_held,v11_days_held,v11_mfe_pct,v11_mae_pct,v11_entry_reason,v11_exit_reason,v11_entry_regime,v11_exit_regime,v11_holding_regime_mode,v11_worst_regime,v11_n_buy_fills,delta_net_pnl,delta_gross_pnl,delta_return_pct,delta_fees,delta_days_held,delta_bars_held,delta_exit_price,size_ratio,delta_notional,delta_mfe_pct,delta_mae_pct,same_exit_reason,same_entry_regime,exit_effect,size_effect,fee_effect,interaction
V10_harsh_1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,5173.12,5301.26,0.81638106,4223.24,98.12,110.95,12.83,2.4771,105,17.33,8.2518,6.0293,vdo_trend_accel,trailing_stop,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,8,V11_harsh_1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,5173.12,5301.26,0.81638106,4223.24,98.12,110.95,12.83,2.4771,105,17.33,8.2518,6.0293,vdo_trend_accel,trailing_stop,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,8,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,True,True,0.0,0.0,-0.0,0.0
V10_harsh_2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,5391.25,7336.6,1.76804663,9531.97,3420.02,3453.77,33.76,36.0835,110,18.17,55.1775,3.9406,vdo_trend_accel,trailing_stop,NEUTRAL,BULL,BULL,SHOCK,9,V11_harsh_2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,5391.25,7336.6,1.76804663,9531.97,3420.02,3453.77,33.76,36.0835,110,18.17,55.1775,3.9406,vdo_trend_accel,trailing_stop,NEUTRAL,BULL,BULL,SHOCK,9,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,True,True,0.0,0.0,-0.0,0.0
V10_harsh_3,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,7625.89,8107.55,1.6991928,12957.86,797.76,837.86,40.1,6.3161,104,17.17,18.9928,7.2895,vdo_dip_buy,trailing_stop,BULL,BULL,BULL,SHOCK,3,V11_harsh_3,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,7626.7,8107.55,1.6436027,12535.26,770.34,809.13,38.79,6.3048,104,17.17,18.9802,7.2993,vdo_dip_buy,trailing_stop,BULL,BULL,BULL,SHOCK,5,-27.41999999999996,-28.730000000000018,-0.011299999999999422,-1.3100000000000023,0.0,0,0.0,0.9673865900696565,-422.60000000000036,-0.012599999999999056,0.009799999999999365,True,True,0.0,-26.78,1.31,-1.95
V10_harsh_4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,7887.04,11818.17,1.75025716,13804.34,6849.47,6901.21,51.73,49.843,130,21.5,77.1261,5.6099,vdo_trend_accel,trailing_stop,BULL,SHOCK,BULL,SHOCK,8,V11_harsh_4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,7887.04,11818.17,1.74697233,13778.43,6836.62,6888.26,51.64,49.843,130,21.5,77.1261,5.6099,vdo_trend_accel,trailing_stop,BULL,SHOCK,BULL,SHOCK,8,-12.850000000000364,-12.949999999999818,0.0,-0.0899999999999963,0.0,0,0.0,0.9981230540540149,-25.909999999999854,0.0,0.0,True,True,0.0,-12.91,0.09,-0.03
V10_harsh_5,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,11441.57,11178.32,1.39247905,15932.15,-389.91,-342.67,47.25,-2.3008,55,9.0,14.9063,5.6385,vdo_trend_accel,trailing_stop,BULL,BULL,BULL,SHOCK,4,V11_harsh_5,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,11441.57,11178.32,1.38986568,15902.25,-389.18,-342.02,47.16,-2.3008,55,9.0,14.9063,5.6385,vdo_trend_accel,trailing_stop,BULL,BULL,BULL,SHOCK,4,0.7300000000000182,0.6500000000000341,0.0,-0.09000000000000341,0.0,0,0.0,0.9981232915833708,-29.899999999999636,0.0,0.0,True,True,0.0,0.69,0.09,-0.05
V10_harsh_6,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,10498.97,9920.66,1.14259663,11996.09,-677.77,-642.78,35.0,-5.5082,33,5.33,5.4293,11.8771,vdo_trend_accel,trailing_stop,BULL,CHOP,BULL,SHOCK,7,V11_harsh_6,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,10498.97,9920.66,1.14045224,11973.57,-676.5,-641.57,34.93,-5.5082,33,5.33,5.4293,11.8771,vdo_trend_accel,trailing_stop,BULL,CHOP,BULL,SHOCK,7,1.2699999999999818,1.2099999999999227,0.0,-0.07000000000000028,0.0,0,0.0,0.998122721653472,-22.520000000000437,0.0,0.0,True,True,0.0,1.24,0.07,-0.04
V10_harsh_7,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,9886.29,11297.93,1.88800754,18665.39,2633.2,2693.19,59.99,14.2788,102,16.83,24.7253,7.2958,vdo_trend_accel,trailing_stop,CHOP,BULL,CHOP,SHOCK,6,V11_harsh_7,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,9886.29,11297.93,1.88446417,18630.36,2628.26,2688.14,59.88,14.2788,102,16.83,24.7253,7.2958,vdo_trend_accel,trailing_stop,CHOP,BULL,CHOP,SHOCK,6,-4.9399999999996,-5.050000000000182,0.0,-0.10999999999999943,0.0,0,0.0,0.9981232645018401,-35.029999999998836,0.0,0.0,True,True,0.0,-5.0,0.11,-0.05
V10_harsh_8,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,10333.08,9976.79,2.07724444,21464.34,-771.2,-707.92,63.28,-3.4481,31,5.0,5.9699,4.5977,vdo_trend_accel,emergency_dd,BULL,CHOP,BULL,CHOP,4,V11_harsh_8,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,10333.08,9976.79,2.07334592,21424.06,-769.76,-706.59,63.16,-3.4481,31,5.0,5.9699,4.5977,vdo_trend_accel,emergency_dd,BULL,CHOP,BULL,CHOP,4,1.4400000000000546,1.3299999999999272,0.0,-0.12000000000000455,0.0,0,0.0,0.9981233990889076,-40.279999999998836,0.0,0.0,True,True,0.0,1.39,0.12,-0.07
V10_harsh_9,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,10271.77,9675.55,1.79724381,18460.88,-1097.65,-1043.87,53.78,-5.8045,32,5.17,3.2344,6.5302,vdo_trend_accel,emergency_dd,CHOP,CHOP,CHOP,CHOP,5,V11_harsh_9,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,10271.77,9675.55,1.79387079,18426.24,-1095.59,-1041.92,53.67,-5.8045,32,5.17,3.2344,6.5302,vdo_trend_accel,emergency_dd,CHOP,CHOP,CHOP,CHOP,5,2.060000000000173,1.949999999999818,0.0,-0.10999999999999943,0.0,0,0.0,0.9981235997417242,-34.63999999999942,0.0,0.0,True,True,0.0,2.01,0.11,-0.06
V10_harsh_10,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,9641.72,10289.92,2.1407513,20640.52,1354.6,1418.61,64.0,6.7229,56,9.17,13.1113,2.2918,vdo_trend_accel,trailing_stop,BULL,CHOP,CHOP,CHOP,4,V11_harsh_10,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,9641.72,10289.92,2.13673359,20601.78,1352.06,1415.94,63.88,6.7229,56,9.17,13.1113,2.2918,vdo_trend_accel,trailing_stop,BULL,CHOP,CHOP,CHOP,4,-2.5399999999999636,-2.6699999999998454,0.0,-0.11999999999999744,0.0,0,0.0,0.9981231093015097,-38.7400000000016,0.0,0.0,True,True,0.0,-2.6,0.12,-0.06
