regime,regime_type,n_trades,total_net_pnl,mean_net_pnl,median_net_pnl,mean_return_pct,median_return_pct,hit_rate_pct,mean_mfe_pct,mean_mae_pct,mfe_mae_ratio,mean_days_held,mean_bars_held,mean_fees,total_fees,low_confidence
BULL,entry_regime,59,134231.08,2275.1,174.92,4.447,0.4313,50.8,14.5727,6.7848,2.15,15.1,91.8,210.1,12395.83,False
NEUTRAL,entry_regime,20,-3059.6,-152.98,-593.46,1.2621,-2.0937,40.0,10.7073,8.1907,1.31,12.4,75.1,162.71,3254.13,False
CHOP,entry_regime,15,20125.41,1341.69,288.77,3.7998,0.3869,53.3,11.5361,6.4613,1.79,16.3,98.8,205.89,3088.39,False
TOPPING,entry_regime,5,-13060.88,-2612.18,-3700.22,-2.7029,-2.9864,20.0,3.8116,4.4399,0.86,9.6,58.6,306.73,1533.65,True
SHOCK,entry_regime,3,-12500.71,-4166.9,-2200.84,-6.7187,-12.1338,33.3,10.1966,15.1062,0.67,7.8,47.7,182.65,547.95,True
BULL,holding_regime_mode,69,163993.22,2376.71,283.54,5.4193,0.4749,53.6,15.2193,6.3613,2.39,15.6,94.8,221.45,15279.89,False
NEUTRAL,holding_regime_mode,17,-22024.39,-1295.55,-793.68,-2.1475,-4.0793,35.3,7.0404,9.2698,0.76,11.3,68.5,178.69,3037.74,False
CHOP,holding_regime_mode,12,-10809.39,-900.78,-792.36,-1.9236,-4.1137,33.3,6.9151,8.091,0.85,10.3,62.5,161.99,1943.87,False
TOPPING,holding_regime_mode,3,-3223.3,-1074.43,-2198.0,4.2279,-2.9864,33.3,12.2625,4.4622,2.75,19.7,119.0,173.66,520.99,True
SHOCK,holding_regime_mode,1,-2200.84,-2200.84,-2200.84,-16.0817,-16.0817,0.0,7.0354,21.5583,0.33,3.3,21.0,37.46,37.46,True
