scenario,window_id,period_start,period_end,days,v10_trades,v11_trades,matched_trades,v10_turnover,v11_turnover,sum_delta_pnl,mean_delta_pnl,std_delta_pnl,se_mean,snr,ci95_lo,ci95_hi,n_tail_trades,tail_trades
harsh,0,2021-01-01,2021-07-01,181,7,7,7,268454.02,279607.45,1814.75,259.25,589.24,923.0,0.281,-1549.83,2068.33,1,"[{""trade_id"": ""V10_harsh_34"", ""entry_ts"": ""2021-03-02T00:00:00Z"", ""delta_pnl"": 1521.62, ""pct_of_window"": 83.8, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""SHOCK"", ""size_ratio"": 1.03}]"
harsh,1,2021-07-01,2022-01-01,184,11,11,10,500988.8,547972.54,-1051.19,-105.12,439.77,772.24,0.136,-1618.71,1408.47,2,"[{""trade_id"": ""V10_harsh_46"", ""entry_ts"": ""2021-11-15T08:00:00Z"", ""delta_pnl"": -953.38, ""pct_of_window"": 90.7, ""exit_reason_v10"": ""emergency_dd"", ""exit_reason_v11"": ""emergency_dd"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.135}, {""trade_id"": ""V10_harsh_43"", ""entry_ts"": ""2021-09-22T16:00:00Z"", ""delta_pnl"": 580.11, ""pct_of_window"": -55.2, ""exit_reason_v10"": ""emergency_dd"", ""exit_reason_v11"": ""emergency_dd"", ""entry_regime"": ""NEUTRAL"", ""size_ratio"": 0.997}]"
harsh,2,2022-01-01,2022-07-01,181,0,0,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0,
harsh,3,2022-07-01,2023-01-01,184,0,0,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0,
harsh,4,2023-01-01,2023-07-01,181,5,4,4,249653.48,225506.02,11873.42,2968.36,5799.33,1221.02,2.431,575.16,5361.55,1,"[{""trade_id"": ""V10_harsh_53"", ""entry_ts"": ""2023-05-04T08:00:00Z"", ""delta_pnl"": 11657.89, ""pct_of_window"": 98.2, ""exit_reason_v10"": ""emergency_dd"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.136}]"
harsh,5,2023-07-01,2024-01-01,184,7,7,7,386922.66,526508.23,7765.64,1109.38,2035.74,923.0,1.202,-699.71,2918.46,2,"[{""trade_id"": ""V10_harsh_58"", ""entry_ts"": ""2023-10-02T04:00:00Z"", ""delta_pnl"": 4098.79, ""pct_of_window"": 52.8, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""NEUTRAL"", ""size_ratio"": 1.379}, {""trade_id"": ""V10_harsh_60"", ""entry_ts"": ""2023-11-15T20:00:00Z"", ""delta_pnl"": 3969.83, ""pct_of_window"": 51.1, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.36}]"
harsh,6,2024-01-01,2024-07-01,182,11,11,11,833470.27,1154459.97,10902.98,991.18,3193.65,736.3,1.346,-451.97,2434.33,2,"[{""trade_id"": ""V10_harsh_64"", ""entry_ts"": ""2024-02-25T04:00:00Z"", ""delta_pnl"": 6794.75, ""pct_of_window"": 62.3, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.32}, {""trade_id"": ""V10_harsh_63"", ""entry_ts"": ""2024-01-23T16:00:00Z"", ""delta_pnl"": 6562.18, ""pct_of_window"": 60.2, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""CHOP"", ""size_ratio"": 1.392}]"
harsh,7,2024-07-01,2025-01-01,184,12,11,10,910383.98,1228941.37,13880.41,1388.04,4645.86,772.24,1.797,-125.55,2901.63,1,"[{""trade_id"": ""V10_harsh_81"", ""entry_ts"": ""2024-11-04T04:00:00Z"", ""delta_pnl"": 12944.69, ""pct_of_window"": 93.3, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.441}]"
harsh,8,2025-01-01,2025-07-01,181,10,10,9,877097.06,1256089.08,293.82,32.65,2889.66,814.01,0.04,-1562.82,1628.11,8,"[{""trade_id"": ""V10_harsh_87"", ""entry_ts"": ""2025-02-04T20:00:00Z"", ""delta_pnl"": -4091.7, ""pct_of_window"": -1392.6, ""exit_reason_v10"": ""emergency_dd"", ""exit_reason_v11"": ""emergency_dd"", ""entry_regime"": ""CHOP"", ""size_ratio"": 1.448}, {""trade_id"": ""V10_harsh_94"", ""entry_ts"": ""2025-06-02T16:00:00Z"", ""delta_pnl"": 3463.82, ""pct_of_window"": 1178.9, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.34}, {""trade_id"": ""V10_harsh_93"", ""entry_ts"": ""2025-05-06T20:00:00Z"", ""delta_pnl"": 3396.37, ""pct_of_window"": 1155.9, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.328}, {""trade_id"": ""V10_harsh_86"", ""entry_ts"": ""2025-01-24T16:00:00Z"", ""delta_pnl"": -3295.37, ""pct_of_window"": -1121.6, ""exit_reason_v10"": ""emergency_dd"", ""exit_reason_v11"": ""emergency_dd"", ""entry_regime"": ""CHOP"", ""size_ratio"": 1.448}, {""trade_id"": ""V10_harsh_85"", ""entry_ts"": ""2025-01-10T20:00:00Z"", ""delta_pnl"": 2671.53, ""pct_of_window"": 909.2, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""CHOP"", ""size_ratio"": 1.448}, {""trade_id"": ""V10_harsh_88"", ""entry_ts"": ""2025-02-26T12:00:00Z"", ""delta_pnl"": -2467.19, ""pct_of_window"": -839.7, ""exit_reason_v10"": ""emergency_dd"", ""exit_reason_v11"": ""emergency_dd"", ""entry_regime"": ""BULL"", ""size_ratio"": 1.485}, {""trade_id"": ""V10_harsh_92"", ""entry_ts"": ""2025-04-21T04:00:00Z"", ""delta_pnl"": 1339.83, ""pct_of_window"": 456.0, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""trailing_stop"", ""entry_regime"": ""CHOP"", ""size_ratio"": 1.363}, {""trade_id"": ""V10_harsh_89"", ""entry_ts"": ""2025-02-28T20:00:00Z"", ""delta_pnl"": -805.95, ""pct_of_window"": -274.3, ""exit_reason_v10"": ""trailing_stop"", ""exit_reason_v11"": ""emergency_dd"", ""entry_regime"": ""NEUTRAL"", ""size_ratio"": 1.538}]"
harsh,9,2025-07-01,2026-01-01,184,9,9,9,842091.9,1136715.26,-5857.86,-650.87,1176.76,814.01,0.8,-2246.34,944.59,0,
