sample_id,cluster_mean_delta_pnl,block8_mean_delta_pnl,iid_mean_delta_pnl
0,-459.36587628865993,-276.05252631578946,-160.954947368421
1,121.32339999999994,128.2262105263157,175.84263157894733
2,-521.470786516854,-821.9397894736842,-431.5897894736843
3,-202.4102150537634,-948.1006315789475,-508.85094736842126
4,-4.850752688172037,-426.17273684210505,14.147157894736784
5,-119.67494623655922,-375.6350526315788,-52.54210526315788
6,-56.88560439560452,313.51831578947366,-129.70021052631574
7,-770.9615853658536,-170.04978947368434,-854.5406315789472
8,-67.43920000000001,11.485368421052625,-153.0945263157895
9,116.93063829787232,-237.2722105263158,-237.52494736842107
10,207.1135483870967,230.81221052631582,-1164.0086315789472
11,-329.7600970873786,-376.4893684210527,-267.9924210526315
12,-634.9725274725275,440.06368421052633,-396.7036842105264
13,-632.5925714285714,-115.41242105263144,-110.91568421052634
14,-89.91276190476196,-100.75273684210536,-430.5133684210527
15,-40.60297872340436,-2.015789473684203,-907.2937894736839
16,-414.5985227272727,-42.973473684210404,-170.4927368421053
17,-512.7016346153846,294.64273684210514,-429.52452631578956
18,149.71478260869563,30.643578947368454,113.54484210526303
19,-641.1686666666667,-293.6450526315787,-496.5195789473684
20,-176.52071428571423,-280.17915789473676,-314.16778947368425
21,-809.1996703296702,-442.8090526315789,-472.48210526315785
22,-746.1992999999999,-293.87600000000015,328.5093684210526
23,104.18945054945063,26.99515789473692,-688.1368421052632
24,-655.4441304347827,-460.34684210526297,-1014.6772631578948
25,236.70208333333335,231.65568421052632,10.512000000000018
26,-904.385744680851,326.32663157894734,-281.77315789473687
27,-276.99936170212766,-563.4810526315787,-809.488105263158
28,-237.01989473684213,-316.86178947368415,-71.51431578947374
29,-233.84022988505754,-566.4891578947369,-95.60821052631574
30,-513.0766265060242,-244.84031578947378,-418.00526315789483
31,-359.3925806451614,310.1768421052631,213.37378947368416
32,38.65456310679602,364.5251578947368,106.14000000000001
33,-482.4335416666667,-0.3465263157894457,-552.9024210526317
34,-742.6055421686747,-131.7646315789474,-502.10715789473676
35,-33.760898876404546,-728.5894736842102,-157.65421052631578
36,-61.61960000000006,169.5692631578947,-218.81347368421058
37,-61.74440000000006,-527.3371578947367,-89.36484210526324
38,-124.11398148148143,-262.22168421052623,181.70568421052633
39,-576.612,257.70526315789476,99.17621052631584
40,307.52536363636364,-350.37610526315785,-42.29789473684207
41,-698.6507216494847,-435.5810526315788,-793.6652631578949
42,-771.2287628865977,-756.613894736842,-319.69852631578954
43,-299.0282222222221,-170.65999999999994,59.85631578947367
44,-509.7727586206897,-1290.6837894736843,-85.11642105263158
45,243.5505102040815,-362.83989473684227,-628.768947368421
