sample_id,cluster_mean_delta_pnl,block8_mean_delta_pnl,iid_mean_delta_pnl
0,541.5289690721651,-36.93458333333331,242.24937500000001
1,747.7362376237623,603.2417708333334,384.2401041666665
2,229.9479347826087,-10.989583333333334,478.44781250000005
3,277.2088172043011,88.14250000000008,171.7754166666667
4,311.8897872340425,103.81718749999997,174.6831250000001
5,809.831894736842,569.8327083333334,161.35343749999998
6,537.7923913043477,888.1700000000001,570.6833333333334
7,198.85385542168683,142.1111458333334,39.037708333333434
8,654.2669,858.4181250000001,123.56281250000008
9,507.6773684210527,718.0839583333332,-35.05354166666666
10,504.2824731182796,539.1680208333333,-56.13395833333336
11,452.37320388349525,733.2948958333333,331.1375000000001
12,467.0736956521739,1305.6413541666668,577.9417708333334
13,350.956,666.8902083333332,434.7128125
14,360.23925233644866,208.42562500000005,639.2897916666667
15,194.5462105263159,242.55062500000008,280.06635416666666
16,385.5449438202248,342.02791666666667,219.69072916666673
17,221.01467289719625,815.3635416666667,34.79666666666672
18,432.8983695652174,273.54833333333335,142.76083333333335
19,143.1833695652175,837.3295833333332,296.77802083333336
20,697.8480232558139,594.5788541666667,738.1378124999998
21,-150.62691489361703,2.1629166666666664,522.7633333333333
22,63.726372549019594,352.74291666666676,727.0521875000001
23,558.4284782608695,933.3468749999998,560.1719791666666
24,436.28526881720444,402.9505208333334,626.0876041666666
25,441.7596875,422.7653125,435.5567708333333
26,2.901122448979575,153.61895833333332,503.0057291666667
27,547.1649473684212,86.82729166666672,418.6866666666667
28,603.2637500000001,573.7941666666666,747.6662499999999
29,398.9595505617979,194.61374999999998,622.1985416666668
30,609.4646987951809,825.4468750000001,588.1708333333335
31,738.2789247311828,798.7633333333333,256.1840625
32,182.38067961165052,394.92020833333345,268.13406249999997
33,356.1703125000001,692.5574999999999,232.59135416666675
34,752.2107142857144,858.3611458333335,647.0348958333334
35,494.1423333333334,433.5761458333333,365.56885416666665
36,136.50950495049509,669.6043749999999,628.9317708333333
37,592.2853,632.7466666666666,525.999375
38,669.9748148148146,797.7639583333331,606.3605208333333
39,401.7369791666665,765.0344791666666,440.9075
40,651.0719999999999,282.9922916666667,810.2963541666664
41,480.15422680412377,891.9796874999998,656.6120833333334
42,151.07797979797976,168.8142708333334,310.30239583333326
43,507.9982222222222,273.6640625,381.7464583333333
44,596.0582758620691,523.1410416666666,179.86552083333325
45,632.2805102040817,169.691875,823.4490624999999
46,517.6351063829787,788.3110416666667,362.38906249999997
47,349.7068888888889,661.5918750000002,-177.80104166666663
