trade_id,strategy_id,symbol,scenario,window_id,entry_ts,exit_ts,entry_price,exit_price,side,qty,notional,gross_pnl,net_pnl,fees_total,return_pct,bars_held,days_held,mfe_pct,mae_pct,entry_reason,exit_reason,entry_regime,exit_regime,holding_regime_mode,worst_regime,n_buy_fills,n_sell_fills
V11_harsh_1,V11,BTCUSDT,harsh,FULL,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,5173.12,5301.26,LONG,0.81638106,4223.24,110.95,98.12,12.83,2.4771,105,17.33,8.2518,6.0293,vdo_trend_accel,trailing_stop,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,8,1
V11_harsh_2,V11,BTCUSDT,harsh,FULL,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,5391.25,7336.6,LONG,1.76804663,9531.97,3453.77,3420.02,33.76,36.0835,110,18.17,55.1775,3.9406,vdo_trend_accel,trailing_stop,NEUTRAL,BULL,BULL,SHOCK,9,1
V11_harsh_3,V11,BTCUSDT,harsh,FULL,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,7626.7,8107.55,LONG,1.6436027,12535.26,809.13,770.34,38.79,6.3048,104,17.17,18.9802,7.2993,vdo_dip_buy,trailing_stop,BULL,BULL,BULL,SHOCK,5,1
V11_harsh_4,V11,BTCUSDT,harsh,FULL,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,7887.04,11818.17,LONG,1.74697233,13778.43,6888.26,6836.62,51.64,49.843,130,21.5,77.1261,5.6099,vdo_trend_accel,trailing_stop,BULL,SHOCK,BULL,SHOCK,8,1
V11_harsh_5,V11,BTCUSDT,harsh,FULL,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,11441.57,11178.32,LONG,1.38986568,15902.25,-342.02,-389.18,47.16,-2.3008,55,9.0,14.9063,5.6385,vdo_trend_accel,trailing_stop,BULL,BULL,BULL,SHOCK,4,1
V11_harsh_6,V11,BTCUSDT,harsh,FULL,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,10498.97,9920.66,LONG,1.14045224,11973.57,-641.57,-676.5,34.93,-5.5082,33,5.33,5.4293,11.8771,vdo_trend_accel,trailing_stop,BULL,CHOP,BULL,SHOCK,7,1
V11_harsh_7,V11,BTCUSDT,harsh,FULL,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,9886.29,11297.93,LONG,1.88446417,18630.36,2688.14,2628.26,59.88,14.2788,102,16.83,24.7253,7.2958,vdo_trend_accel,trailing_stop,CHOP,BULL,CHOP,SHOCK,6,1
V11_harsh_8,V11,BTCUSDT,harsh,FULL,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,10333.08,9976.79,LONG,2.07334592,21424.06,-706.59,-769.76,63.16,-3.4481,31,5.0,5.9699,4.5977,vdo_trend_accel,emergency_dd,BULL,CHOP,BULL,CHOP,4,1
V11_harsh_9,V11,BTCUSDT,harsh,FULL,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,10271.77,9675.55,LONG,1.79387079,18426.24,-1041.92,-1095.59,53.67,-5.8045,32,5.17,3.2344,6.5302,vdo_trend_accel,emergency_dd,CHOP,CHOP,CHOP,CHOP,5,1
V11_harsh_10,V11,BTCUSDT,harsh,FULL,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,9641.72,10289.92,LONG,2.13673359,20601.78,1415.94,1352.06,63.88,6.7229,56,9.17,13.1113,2.2918,vdo_trend_accel,trailing_stop,BULL,CHOP,CHOP,CHOP,4,1
