regime,regime_type,n_matched,delta_total_pnl,delta_mean_pnl,delta_median_pnl,delta_mean_return_pct,p_v11_wins,n_v11_wins,n_v10_wins,n_zero,pct_of_total_delta,sum_exit_effect,sum_size_effect,sum_fee_effect,sum_interaction,mean_size_ratio,delta_mean_mfe,delta_mean_mae,low_confidence
BULL,entry_regime,56,37487.3,669.42,1.0,0.4081,51.8,29,27,0,93.4,15734.64,17838.32,-2789.07,6703.41,1.213,0.2669,-0.0177,False
NEUTRAL,entry_regime,20,-164.79,-8.24,-1.62,0.4054,40.0,8,10,2,-0.4,748.6,-1355.98,-785.71,1228.29,1.218,0.0413,-0.2415,False
CHOP,entry_regime,14,2608.42,186.32,1.92,-0.1026,64.3,9,5,0,6.5,-1083.99,4488.29,-803.18,7.3,1.241,0.0072,-0.0048,False
TOPPING,entry_regime,4,-1206.0,-301.5,-231.76,0.5812,50.0,2,2,0,-3.0,1069.16,-2833.0,-334.49,892.33,1.359,0.0659,-0.2203,True
SHOCK,entry_regime,2,1410.94,705.47,705.47,1.2948,50.0,1,1,0,3.5,1394.55,-20.36,-9.07,45.82,1.042,0.0,0.0,True
BULL,holding_regime_mode,64,48809.16,762.64,25.14,0.3873,57.8,37,26,1,121.6,15767.46,29727.74,-3340.42,6654.38,1.22,0.2385,-0.0193,False
NEUTRAL,holding_regime_mode,17,-5100.22,-300.01,-79.61,0.4423,29.4,5,11,1,-12.7,1026.34,-6848.45,-824.64,1546.52,1.262,0.0478,-0.2851,False
CHOP,holding_regime_mode,11,-2922.53,-265.68,-2.54,0.0,45.5,5,6,0,-7.3,0.0,-2713.61,-421.89,212.97,1.161,0.0,0.0,False
TOPPING,holding_regime_mode,3,-539.86,-179.95,202.62,0.7106,66.7,2,1,0,-1.3,1069.16,-1938.59,-132.69,462.26,1.271,0.0201,-0.2279,True
SHOCK,holding_regime_mode,1,-110.68,-110.68,-110.68,0.0,0.0,0,1,0,-0.3,0.0,-109.82,-1.88,1.02,1.053,0.0,0.0,True
