trade_id,strategy_id,symbol,scenario,window_id,entry_ts,exit_ts,entry_price,exit_price,side,qty,notional,gross_pnl,net_pnl,fees_total,return_pct,bars_held,days_held,mfe_pct,mae_pct,entry_reason,exit_reason,entry_regime,exit_regime,holding_regime_mode,worst_regime,n_buy_fills,n_sell_fills
V10_harsh_1,V10,BTCUSDT,harsh,FULL,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,5173.12,5301.26,LONG,0.81638106,4223.24,110.95,98.12,12.83,2.4771,105,17.33,8.2518,6.0293,vdo_trend_accel,trailing_stop,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,8,1
V10_harsh_2,V10,BTCUSDT,harsh,FULL,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,5391.25,7336.6,LONG,1.76804663,9531.97,3453.77,3420.02,33.76,36.0835,110,18.17,55.1775,3.9406,vdo_trend_accel,trailing_stop,NEUTRAL,BULL,BULL,SHOCK,9,1
V10_harsh_3,V10,BTCUSDT,harsh,FULL,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,7625.89,8107.55,LONG,1.6991928,12957.86,837.86,797.76,40.1,6.3161,104,17.17,18.9928,7.2895,vdo_dip_buy,trailing_stop,BULL,BULL,BULL,SHOCK,3,1
V10_harsh_4,V10,BTCUSDT,harsh,FULL,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,7887.04,11818.17,LONG,1.75025716,13804.34,6901.21,6849.47,51.73,49.843,130,21.5,77.1261,5.6099,vdo_trend_accel,trailing_stop,BULL,SHOCK,BULL,SHOCK,8,1
V10_harsh_5,V10,BTCUSDT,harsh,FULL,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,11441.57,11178.32,LONG,1.39247905,15932.15,-342.67,-389.91,47.25,-2.3008,55,9.0,14.9063,5.6385,vdo_trend_accel,trailing_stop,BULL,BULL,BULL,SHOCK,4,1
V10_harsh_6,V10,BTCUSDT,harsh,FULL,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,10498.97,9920.66,LONG,1.14259663,11996.09,-642.78,-677.77,35.0,-5.5082,33,5.33,5.4293,11.8771,vdo_trend_accel,trailing_stop,BULL,CHOP,BULL,SHOCK,7,1
V10_harsh_7,V10,BTCUSDT,harsh,FULL,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,9886.29,11297.93,LONG,1.88800754,18665.39,2693.19,2633.2,59.99,14.2788,102,16.83,24.7253,7.2958,vdo_trend_accel,trailing_stop,CHOP,BULL,CHOP,SHOCK,6,1
V10_harsh_8,V10,BTCUSDT,harsh,FULL,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,10333.08,9976.79,LONG,2.07724444,21464.34,-707.92,-771.2,63.28,-3.4481,31,5.0,5.9699,4.5977,vdo_trend_accel,emergency_dd,BULL,CHOP,BULL,CHOP,4,1
V10_harsh_9,V10,BTCUSDT,harsh,FULL,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,10271.77,9675.55,LONG,1.79724381,18460.88,-1043.87,-1097.65,53.78,-5.8045,32,5.17,3.2344,6.5302,vdo_trend_accel,emergency_dd,CHOP,CHOP,CHOP,CHOP,5,1
V10_harsh_10,V10,BTCUSDT,harsh,FULL,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,9641.72,10289.92,LONG,2.1407513,20640.52,1418.61,1354.6,64.0,6.7229,56,9.17,13.1113,2.2918,vdo_trend_accel,trailing_stop,BULL,CHOP,CHOP,CHOP,4,1
