regime,regime_type,n_trades,total_net_pnl,mean_net_pnl,median_net_pnl,mean_return_pct,median_return_pct,hit_rate_pct,mean_mfe_pct,mean_mae_pct,mfe_mae_ratio,mean_days_held,mean_bars_held,mean_fees,total_fees,low_confidence
BULL,entry_regime,61,67047.86,1099.15,35.52,3.071,0.3435,50.8,13.229,6.7513,1.96,14.3,86.6,165.33,10085.01,False
NEUTRAL,entry_regime,21,14104.72,671.65,-104.13,2.3711,-0.3949,47.6,12.2084,8.4104,1.45,13.0,78.8,126.25,2651.19,False
CHOP,entry_regime,14,18162.84,1297.35,1420.51,4.4383,2.2331,57.1,12.0962,6.6016,1.83,16.7,101.4,159.7,2235.79,False
TOPPING,entry_regime,5,-6059.89,-1211.98,-2679.6,-1.542,-2.9207,40.0,4.7596,5.183,0.92,12.0,72.8,218.92,1094.61,True
SHOCK,entry_regime,2,770.32,385.16,385.16,-5.3059,-5.3059,50.0,13.6696,15.746,0.87,8.8,53.5,100.78,201.56,True
BULL,holding_regime_mode,70,124242.17,1774.89,330.05,5.1026,0.6956,58.6,14.8295,6.277,2.36,15.2,92.2,172.99,12109.03,False
NEUTRAL,holding_regime_mode,17,-16924.17,-995.54,-737.32,-2.5899,-4.1368,35.3,6.9926,9.5549,0.73,11.2,68.3,130.18,2213.1,False
CHOP,holding_regime_mode,12,-8518.55,-709.88,-1019.14,-2.2239,-4.3884,33.3,6.9273,8.4021,0.82,11.4,69.3,126.85,1522.15,False
TOPPING,holding_regime_mode,3,-2683.44,-894.48,-2679.6,3.5173,-4.7916,33.3,12.2424,4.6901,2.61,19.7,119.3,129.43,388.3,True
SHOCK,holding_regime_mode,1,-2090.16,-2090.16,-2090.16,-16.0817,-16.0817,0.0,7.0354,21.5583,0.33,3.3,21.0,35.58,35.58,True
