regime,regime_type,n_trades,total_net_pnl,mean_net_pnl,median_net_pnl,mean_return_pct,median_return_pct,hit_rate_pct,mean_mfe_pct,mean_mae_pct,mfe_mae_ratio,mean_days_held,mean_bars_held,mean_fees,total_fees,low_confidence
BULL,entry_regime,60,102233.49,1703.89,256.04,3.4923,0.5996,53.3,13.5689,7.0902,1.91,14.9,90.4,144.7,8682.24,False
NEUTRAL,entry_regime,20,26184.49,1309.22,-0.42,3.3542,0.11,50.0,13.2117,8.6288,1.53,14.3,86.9,111.59,2231.72,False
CHOP,entry_regime,14,24390.81,1742.2,1578.46,4.5319,2.3241,57.1,12.1461,6.56,1.85,16.7,101.4,144.93,2029.08,False
TOPPING,entry_regime,4,-10978.23,-2744.56,-3952.92,-2.8812,-3.7699,25.0,3.801,4.4455,0.86,10.4,63.5,223.52,894.06,True
SHOCK,entry_regime,2,898.56,449.28,449.28,-5.222,-5.222,50.0,13.7192,15.7092,0.87,8.8,53.5,70.87,141.74,True
BULL,holding_regime_mode,67,182486.47,2723.68,795.59,5.8472,0.9922,61.2,15.5777,6.5185,2.39,16.0,97.0,153.78,10303.35,False
NEUTRAL,holding_regime_mode,17,-22145.16,-1302.66,-744.45,-2.5208,-4.0504,35.3,7.0405,9.7938,0.72,11.9,72.6,117.84,2003.36,False
CHOP,holding_regime_mode,12,-10700.24,-891.69,-1006.58,-2.136,-4.3025,33.3,6.9752,8.361,0.83,11.4,69.3,107.88,1294.5,False
TOPPING,holding_regime_mode,3,-4715.13,-1571.71,-3635.79,3.6106,-4.7052,33.3,12.2931,4.6471,2.65,19.7,119.3,117.5,352.51,True
SHOCK,holding_regime_mode,1,-2196.82,-2196.82,-2196.82,-16.0059,-16.0059,0.0,7.0838,21.5228,0.33,3.3,21.0,25.12,25.12,True
