trade_id,strategy_id,symbol,scenario,window_id,entry_ts,exit_ts,entry_price,exit_price,side,qty,notional,gross_pnl,net_pnl,fees_total,return_pct,bars_held,days_held,mfe_pct,mae_pct,entry_reason,exit_reason,entry_regime,exit_regime,holding_regime_mode,worst_regime,n_buy_fills,n_sell_fills
V10_base_1,V10,BTCUSDT,base,FULL,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,5170.82,5303.65,LONG,0.81661717,4222.58,112.7,104.14,8.55,2.5689,105,17.33,8.3001,5.9874,vdo_trend_accel,trailing_stop,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,8,1
V10_base_2,V10,BTCUSDT,base,FULL,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,5388.94,7339.9,LONG,1.77070066,9542.21,3464.1,3441.56,22.54,36.203,110,18.17,55.2438,3.8995,vdo_trend_accel,trailing_stop,NEUTRAL,BULL,BULL,SHOCK,9,1
V10_base_3,V10,BTCUSDT,base,FULL,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,7622.66,8111.2,LONG,1.70455187,12993.21,845.74,818.92,26.82,6.4091,104,17.17,19.0433,7.2502,vdo_dip_buy,trailing_stop,BULL,BULL,BULL,SHOCK,3,1
V10_base_4,V10,BTCUSDT,base,FULL,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,7883.53,11823.49,LONG,1.75928296,13869.36,6945.38,6910.71,34.67,49.9771,130,21.5,77.2049,5.5679,vdo_trend_accel,trailing_stop,BULL,SHOCK,BULL,SHOCK,8,1
V10_base_5,V10,BTCUSDT,base,FULL,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,11436.42,11183.36,LONG,1.40170408,16030.48,-338.7,-370.4,31.71,-2.2128,55,9.0,14.958,5.596,vdo_trend_accel,trailing_stop,BULL,BULL,BULL,SHOCK,4,1
V10_base_6,V10,BTCUSDT,base,FULL,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,10494.3,9925.13,LONG,1.15170265,12086.31,-643.43,-666.95,23.52,-5.4236,33,5.33,5.4762,11.8379,vdo_trend_accel,trailing_stop,BULL,CHOP,BULL,SHOCK,7,1
V10_base_7,V10,BTCUSDT,base,FULL,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,9881.83,11303.02,LONG,1.90591308,18833.91,2727.5,2687.12,40.38,14.3818,102,16.83,24.7815,7.254,vdo_trend_accel,trailing_stop,CHOP,BULL,CHOP,SHOCK,6,1
V10_base_8,V10,BTCUSDT,base,FULL,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,10328.39,9981.28,LONG,2.10052579,21695.05,-707.43,-750.09,42.66,-3.3608,31,5.0,6.018,4.5544,vdo_trend_accel,emergency_dd,BULL,CHOP,BULL,CHOP,4,1
V10_base_9,V10,BTCUSDT,base,FULL,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,10267.12,9679.9,LONG,1.82044173,18690.69,-1050.29,-1086.61,36.31,-5.7193,32,5.17,3.2812,6.4878,vdo_trend_accel,emergency_dd,CHOP,CHOP,CHOP,CHOP,5,1
V10_base_10,V10,BTCUSDT,base,FULL,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,9637.44,10294.56,LONG,2.17272437,20939.51,1448.66,1405.36,43.31,6.8183,56,9.17,13.1614,2.2485,vdo_trend_accel,trailing_stop,BULL,CHOP,CHOP,CHOP,4,1
