strategy_id,window_id,test_start,test_end,low_trades,low_avg_pnl_usd,low_win_rate,high_trades,high_avg_pnl_usd,high_win_rate,eligible,pnl_order_pass,win_rate_order_pass,both_order_pass
X0,2,2022-01-01,2022-07-01,2,-298.031475,0.5,1,-515.985886,0.0,False,False,False,False
X0,3,2022-07-01,2023-01-01,3,-166.073259,0.333333,2,-184.128298,0.0,False,False,False,False
X0,4,2023-01-01,2023-07-01,7,405.689089,0.428571,5,-2.835271,0.4,True,True,True,True
X0,5,2023-07-01,2024-01-01,3,747.925365,0.333333,7,-136.475597,0.142857,True,True,True,True
X0,6,2024-01-01,2024-07-01,5,912.527188,1.0,3,-292.749067,0.333333,True,True,True,True
X0,7,2024-07-01,2025-01-01,2,-187.198448,0.5,4,108.082997,0.5,False,False,False,False
X0,8,2025-01-01,2025-07-01,2,32.251561,0.5,4,54.947309,0.25,False,False,False,False
X0,9,2025-07-01,2026-01-01,3,-10.347148,0.666667,4,-66.092761,0.25,True,True,True,True
X0_E5EXIT,2,2022-01-01,2022-07-01,2,-215.074058,0.5,1,-525.317401,0.0,False,False,False,False
X0_E5EXIT,3,2022-07-01,2023-01-01,4,-164.712661,0.0,2,-175.051043,0.0,False,False,False,False
X0_E5EXIT,4,2023-01-01,2023-07-01,8,352.522903,0.375,6,-67.842738,0.333333,True,True,True,True
X0_E5EXIT,5,2023-07-01,2024-01-01,3,774.565305,0.333333,6,-84.108288,0.333333,True,True,False,False
X0_E5EXIT,6,2024-01-01,2024-07-01,5,932.21503,0.8,4,-40.491981,0.5,True,True,True,True
X0_E5EXIT,7,2024-07-01,2025-01-01,3,174.311241,0.666667,4,66.417446,0.5,True,True,True,True
X0_E5EXIT,8,2025-01-01,2025-07-01,2,2.085041,0.5,5,9.645533,0.4,False,False,False,False
X0_E5EXIT,9,2025-07-01,2026-01-01,3,-0.776161,0.666667,5,-47.139557,0.2,True,True,True,True
