strategy_id,trade_id,entry_ts,exit_ts,entry_reason,runtime_risk_level,expected_risk_level,risk_match,pnl_usd,return_pct,exit_reason
X0,1,2019-01-05T04:00:00Z,2019-01-10T08:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,-148.48,-1.4848,x0_trail_stop
X0,2,2019-02-09T20:00:00Z,2019-02-24T16:00:00Z,x0_entry|risk=low_non_chop,low_non_chop,low_non_chop,True,285.43,2.8973,x0_trail_stop
X0,3,2019-02-27T20:00:00Z,2019-03-04T08:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,-278.67,-2.7491,x0_trail_stop
X0,4,2019-03-06T12:00:00Z,2019-03-25T16:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,205.73,2.0868,x0_trail_stop
X0,5,2019-03-26T04:00:00Z,2019-04-11T12:00:00Z,x0_entry|risk=low_non_chop,low_non_chop,low_non_chop,True,2658.91,26.42,x0_trail_stop
X0,6,2019-04-12T16:00:00Z,2019-04-26T00:00:00Z,x0_entry|risk=high_chop_stretch,high_chop_stretch,high_chop_stretch,True,396.49,3.1163,x0_trail_stop
X0,7,2019-04-27T00:00:00Z,2019-05-17T04:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,4917.77,37.4847,x0_trail_stop
X0,8,2019-05-17T20:00:00Z,2019-05-31T00:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,2755.57,15.2772,x0_trail_stop
X0,9,2019-05-31T20:00:00Z,2019-06-04T00:00:00Z,x0_entry|risk=high_chop_stretch,high_chop_stretch,high_chop_stretch,True,-909.88,-4.376,x0_trail_stop
X0,10,2019-06-08T12:00:00Z,2019-06-08T16:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,-253.42,-1.2746,x0_trend_exit
X0,11,2019-06-13T04:00:00Z,2019-06-27T16:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,8959.74,45.6444,x0_trail_stop
X0,12,2019-06-29T08:00:00Z,2019-07-01T16:00:00Z,x0_entry|risk=high_chop_stretch,high_chop_stretch,high_chop_stretch,True,-3704.74,-12.9585,x0_trail_stop
X0,13,2019-07-03T04:00:00Z,2019-07-11T08:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,525.39,2.1113,x0_trail_stop
X0,14,2019-07-12T04:00:00Z,2019-07-14T16:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,-1880.88,-7.4022,x0_trail_stop
X0,15,2019-08-03T20:00:00Z,2019-08-10T20:00:00Z,x0_entry|risk=low_non_chop,low_non_chop,low_non_chop,True,919.17,3.9065,x0_trail_stop
X0,16,2019-08-11T12:00:00Z,2019-08-13T16:00:00Z,x0_entry|risk=high_chop_stretch,high_chop_stretch,high_chop_stretch,True,-1218.22,-4.9829,x0_trail_stop
X0,17,2019-09-06T08:00:00Z,2019-09-09T04:00:00Z,x0_entry|risk=low_non_chop,low_non_chop,low_non_chop,True,-1012.41,-4.3582,x0_trail_stop
X0,18,2019-09-14T16:00:00Z,2019-09-16T20:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,-615.34,-2.7696,x0_trend_exit
X0,19,2019-10-27T00:00:00Z,2019-11-01T04:00:00Z,x0_entry|risk=low_non_chop,low_non_chop,low_non_chop,True,-494.04,-2.287,x0_trail_stop
X0,20,2019-11-01T08:00:00Z,2019-11-08T12:00:00Z,x0_entry|risk=high_chop_stretch,high_chop_stretch,high_chop_stretch,True,-274.14,-1.2987,x0_trail_stop
X0,21,2019-11-12T00:00:00Z,2019-11-12T04:00:00Z,x0_entry|risk=low_non_chop,low_non_chop,low_non_chop,True,-86.61,-0.4157,x0_trend_exit
X0,22,2019-12-29T04:00:00Z,2019-12-31T16:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,-420.07,-2.0247,x0_trail_stop
X0,23,2020-01-05T00:00:00Z,2020-01-10T00:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,1173.5,5.773,x0_trail_stop
X0,24,2020-01-10T20:00:00Z,2020-01-19T16:00:00Z,x0_entry|risk=high_chop_stretch,high_chop_stretch,high_chop_stretch,True,1413.85,6.5758,x0_trail_stop
X0,25,2020-01-21T12:00:00Z,2020-01-24T04:00:00Z,x0_entry|risk=high_chop_stretch,high_chop_stretch,high_chop_stretch,True,-999.7,-4.3627,x0_trail_stop
X0,26,2020-01-24T08:00:00Z,2020-02-11T04:00:00Z,x0_entry|risk=low_non_chop,low_non_chop,low_non_chop,True,3538.43,16.1462,x0_trail_stop
X0,27,2020-02-11T16:00:00Z,2020-02-16T16:00:00Z,x0_entry|risk=high_chop_stretch,high_chop_stretch,high_chop_stretch,True,-890.5,-3.4986,x0_trail_stop
X0,28,2020-02-18T08:00:00Z,2020-02-20T12:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,-685.18,-2.7895,x0_trail_stop
X0,29,2020-04-03T16:00:00Z,2020-04-10T12:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,535.27,2.2417,x0_trail_stop
X0,30,2020-04-12T20:00:00Z,2020-04-15T16:00:00Z,x0_entry|risk=high_chop_stretch,high_chop_stretch,high_chop_stretch,True,-1522.88,-6.238,x0_trail_stop
X0,31,2020-04-15T20:00:00Z,2020-04-20T20:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,17.58,0.0768,x0_trail_stop
X0,32,2020-04-23T12:00:00Z,2020-05-10T04:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,4642.72,20.2671,x0_trail_stop
X0,33,2020-05-11T04:00:00Z,2020-05-21T16:00:00Z,x0_entry|risk=medium_chop,medium_chop,medium_chop,True,1080.19,3.9208,x0_trail_stop
