strategy_id,fills_parity,fills_detail,trades_parity,trades_detail,summary_parity,summary_detail,risk_tag_match_rate
X0,True,ok,True,ok,True,ok,1.0
X0_E5EXIT,True,ok,True,ok,True,ok,1.0
