strategy_id,period,risk_level,trades,share_trades,avg_pnl_usd,median_pnl_usd,total_pnl_usd,win_rate
X0,full,low_non_chop,43,0.25,2440.317173,185.835313,104933.638456,0.534884
X0,full,medium_chop,76,0.44186,2095.823261,-245.332213,159282.567845,0.460526
X0,full,high_chop_stretch,53,0.30814,-391.977007,-1067.351222,-20774.781395,0.283019
X0,holdout,low_non_chop,12,0.235294,349.127851,123.187487,4189.534215,0.75
X0,holdout,medium_chop,22,0.431373,208.602125,-46.009318,4589.246755,0.454545
X0,holdout,high_chop_stretch,17,0.333333,-59.791899,-288.894798,-1016.462287,0.352941
X0_E5EXIT,full,low_non_chop,51,0.274194,2840.019878,-87.130027,144841.01376,0.490196
X0_E5EXIT,full,medium_chop,78,0.419355,2090.97223,-170.646834,163095.833918,0.461538
X0_E5EXIT,full,high_chop_stretch,57,0.306452,51.98689,-855.428116,2963.252709,0.350877
X0_E5EXIT,holdout,low_non_chop,13,0.236364,407.064545,124.507815,5291.839083,0.692308
X0_E5EXIT,holdout,medium_chop,23,0.418182,155.804808,-7.657693,3583.51058,0.478261
X0_E5EXIT,holdout,high_chop_stretch,19,0.345455,-2.644312,-119.402822,-50.241919,0.421053
