design,params,sharpe,cagr,mdd,trades,avg_hold,trail_exits,n_trail_triggered,n_trail_suppressed,d_sharpe,d_cagr,d_mdd,g0_pass
A,none,1.323070,54.913570,39.957135,185,41.454054,165,204,39,-0.048708,-2.802658,-0.000000,False
B,tau=1.035,1.526929,70.529087,34.110539,150,53.526667,129,758,629,0.155151,12.812859,-5.846596,True
C,"tau_ema=1.04,tau_d1=0.0",1.493382,67.938668,35.776012,158,50.335443,136,647,511,0.121603,10.222439,-4.181123,True
D,logistic,1.529967,70.670779,35.874014,148,53.912162,127,721,594,0.158188,12.954550,-4.083121,True
