rank,type,n_trades,sharpe,cagr_native,skipped
1,worst,192,1.126524,0.604989,[5060]
2,worst,192,1.126524,0.604989,[5060]
3,worst,192,1.126524,0.604989,[5060]
4,worst,192,1.126524,0.604989,[5060]
5,worst,192,1.126524,0.604989,[5060]
6,worst,192,1.126524,0.604989,[5060]
7,worst,192,1.126524,0.604989,[5060]
8,worst,192,1.126524,0.604989,[5060]
9,worst,192,1.126910,0.608259,[3342]
10,worst,192,1.126910,0.608259,[3342]
11,worst,192,1.126910,0.608259,[3342]
12,worst,192,1.126910,0.608259,[3342]
13,worst,192,1.126910,0.608259,[3342]
14,worst,192,1.126910,0.608259,[3342]
15,worst,192,1.126910,0.608259,[3342]
16,worst,192,1.126910,0.608259,[3342]
17,worst,192,1.126910,0.608259,[3342]
18,worst,192,1.126910,0.608259,[3342]
19,worst,192,1.126910,0.608259,[3342]
20,worst,192,1.126910,0.608259,[3342]
1,best,191,1.149188,0.629428,[4996]
2,best,191,1.149188,0.629428,[4996]
3,best,191,1.149390,0.629739,[5428]
4,best,191,1.149390,0.629739,[5428]
5,best,191,1.149390,0.629739,[5428]
6,best,191,1.149390,0.629739,[5428]
7,best,191,1.149390,0.629739,[5428]
8,best,191,1.149390,0.629739,[5428]
9,best,191,1.149390,0.629739,[5428]
10,best,191,1.149390,0.629739,[5428]
11,best,191,1.149390,0.629739,[5428]
12,best,191,1.149390,0.629739,[5428]
13,best,191,1.149390,0.629739,[5428]
14,best,191,1.149390,0.629739,[5428]
15,best,191,1.149390,0.629739,[5428]
16,best,191,1.149390,0.629739,[5428]
17,best,191,1.149390,0.629739,[5428]
18,best,191,1.149390,0.629739,[5428]
19,best,191,1.149390,0.629739,[5428]
20,best,191,1.149390,0.629739,[5428]
