rank,window_start_ms,n_entries_blocked,n_trades,sharpe,delta_sharpe,cagr_native
1,1587599999999,1,192,1.073784,-0.064108,0.554208
2,1612238399999,1,192,1.075502,-0.062390,0.535023
3,1587614399999,1,192,1.077038,-0.060853,0.557093
4,1612223999999,1,192,1.080440,-0.057452,0.539509
5,1612209599999,1,192,1.081663,-0.056229,0.540638
6,1595707199999,1,192,1.083888,-0.054004,0.565904
7,1627171199999,1,192,1.085183,-0.052709,0.567764
8,1627185599999,1,192,1.086254,-0.051638,0.568707
9,1627199999999,1,192,1.086538,-0.051354,0.568958
10,1627070399999,1,192,1.086604,-0.051288,0.569016
11,1617796799999,1,192,1.086657,-0.051235,0.571247
12,1617811199999,1,192,1.086657,-0.051235,0.571247
13,1617825599999,1,192,1.086657,-0.051235,0.571247
14,1617839999999,1,192,1.086657,-0.051235,0.571247
15,1617854399999,1,192,1.086657,-0.051235,0.571247
16,1617868799999,1,192,1.086657,-0.051235,0.571247
17,1617883199999,1,192,1.086657,-0.051235,0.571247
18,1617897599999,1,192,1.086657,-0.051235,0.571247
19,1587628799999,1,192,1.087067,-0.050825,0.566104
20,1627991999999,1,192,1.088716,-0.049176,0.569383
