symbol,interval,open_time,close_time,open,high,low,close,volume,quote_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol
BTCUSDT,15m,1773727200000,1773728099999,74036.74,74165.0,73877.56,74145.18,332.84171,24623604.2797823,51979,181.58217,13433280.4524083
BTCUSDT,15m,1773728100000,1773728999999,74145.17,74266.66,74079.73,74212.41,171.73102,12739067.9767575,37261,81.45224,6042207.6532178
BTCUSDT,15m,1773729000000,1773729899999,74212.42,74276.66,73980.0,74004.78,228.61274,16959328.5602822,39671,96.27116,7143699.3926564
BTCUSDT,15m,1773729900000,1773730799999,74004.78,74094.52,73954.74,74085.45,146.56202,10848986.8246199,29410,53.43403,3955302.6120639
BTCUSDT,15m,1773730800000,1773731699999,74085.46,74361.03,74066.4,74324.03,177.44352,13169310.479596,32934,92.34115,6854650.7278241
BTCUSDT,15m,1773731700000,1773732599999,74324.04,74457.72,74320.79,74403.62,182.57063,13580689.7744345,41258,86.49374,6433720.1972182
BTCUSDT,15m,1773732600000,1773733499999,74403.62,74403.62,74300.0,74400.0,295.78749,21994303.8001527,33500,125.33274,9320346.6900021
BTCUSDT,15m,1773733500000,1773734399999,74400.0,74400.0,74220.0,74249.32,115.44036,8576108.9796512,23061,31.04142,2305803.0093638
BTCUSDT,15m,1773734400000,1773735299999,74249.32,74452.97,74174.63,74230.0,122.45777,9102621.0536615,31914,62.66066,4657625.8274594
BTCUSDT,15m,1773735300000,1773736199999,74230.01,74400.0,74108.01,74306.23,110.44847,8202914.3694935,32620,63.1739,4693659.4443364
BTCUSDT,15m,1773736200000,1773737099999,74306.22,74447.77,74172.63,74394.28,130.93406,9728665.141856,32849,78.23046,5814073.6375016
BTCUSDT,15m,1773737100000,1773737999999,74394.28,74424.39,74140.53,74188.38,97.81265,7266687.9743969,25617,44.9128,3337559.7882147
BTCUSDT,15m,1773738000000,1773738899999,74188.38,74257.92,74032.94,74047.64,188.69078,13985290.3245766,33523,75.61907,5604411.837546
BTCUSDT,15m,1773738900000,1773739799999,74047.63,74406.03,73999.0,74311.79,313.16358,23234985.1283987,48490,156.10982,11585751.9403496
BTCUSDT,15m,1773739800000,1773740699999,74311.78,74330.81,74143.1,74194.85,177.43852,13167168.9313805,30211,83.71245,6211847.6897925
BTCUSDT,15m,1773740700000,1773741599999,74194.84,74194.85,73841.62,73937.16,184.86975,13682467.9719593,36791,85.29777,6311835.6949557
BTCUSDT,15m,1773741600000,1773742499999,73937.16,73960.74,73560.98,73685.51,381.31165,28106088.9057393,66049,188.0952,13861819.6002609
BTCUSDT,15m,1773742500000,1773743399999,73685.51,73837.2,73580.33,73750.0,175.09215,12906624.8836339,42564,95.13949,7012180.9597732
BTCUSDT,15m,1773743400000,1773744299999,73750.0,73786.74,73596.59,73743.99,211.58952,15595451.5832854,45628,106.2405,7830603.5982754
BTCUSDT,15m,1773744300000,1773745199999,73743.98,73774.37,73639.71,73729.45,281.07578,20716791.8654648,33601,83.59329,6162407.7633264
BTCUSDT,15m,1773745200000,1773746099999,73729.45,73974.06,73682.01,73930.54,203.72784,15047177.0109037,47127,120.84256,8925098.7427584
BTCUSDT,15m,1773746100000,1773746999999,73930.55,74081.21,73887.67,74012.78,187.63697,13881114.205756,38571,114.79499,8492480.4071183
BTCUSDT,15m,1773747000000,1773747899999,74012.78,74127.98,73940.48,74107.82,136.55059,10110245.6685235,35013,85.07785,6299345.9106424
BTCUSDT,15m,1773747900000,1773748799999,74107.81,74224.16,74018.0,74033.11,120.04264,8898144.15902,28737,61.50703,4559759.6515582
BTCUSDT,15m,1773748800000,1773749699999,74033.1,74170.55,74008.67,74057.88,119.84785,8878019.6838476,30051,68.71968,5091189.8120235
BTCUSDT,15m,1773749700000,1773750599999,74057.88,74153.11,73780.0,73793.9,198.44399,14678481.6221845,49141,92.99019,6882056.8061893
BTCUSDT,15m,1773750600000,1773751499999,73793.89,73914.0,73698.0,73837.39,137.35468,10138328.0835771,46751,61.97632,4575154.1686809
BTCUSDT,15m,1773751500000,1773752399999,73837.39,73837.39,73672.25,73739.74,158.58784,11694157.8932177,35607,63.04669,4649285.5859286
BTCUSDT,15m,1773752400000,1773753299999,73739.74,73845.51,73689.68,73836.46,104.68526,7722375.6938655,39607,53.51569,3948121.3783096
BTCUSDT,15m,1773753300000,1773754199999,73836.46,73871.79,73666.0,73715.06,118.18991,8719024.0740048,34907,59.44765,4385312.699412
BTCUSDT,15m,1773754200000,1773755099999,73715.05,74167.39,73688.01,73721.08,487.10486,36009608.6471069,115552,239.629,17718876.4938617
BTCUSDT,15m,1773755100000,1773755999999,73721.07,73881.58,73399.19,73615.48,449.90441,33118432.2821435,94501,177.26426,13052349.5849982
