episode_id,entry_time,exit_time,hold_bars,hold_days,exit_reason,realized_return_pct,pnl_usd,mfe_pct,mae_pct,giveback_ratio,win_flag,native_positive_contribution_rank_desc
1,2019-01-06T20:00:00Z,2019-01-10T20:00:00Z,24,4.0,vtrend_sm_floor_exit,-10.293029,-202.699365,1.60751461795167,11.61958775675736,7.403070233423819,0,38
2,2019-02-18T04:00:00Z,2019-02-24T16:00:00Z,39,6.5,vtrend_sm_floor_exit,0.97937,110.688253,12.309799468702092,1.10290133254464,0.9204398087483011,1,24
3,2019-03-09T16:00:00Z,2019-06-04T04:00:00Z,519,86.5,vtrend_sm_floor_exit,87.160098,3252.369231,115.30627955221502,9.589376236283,0.24409929503856173,1,3
4,2019-06-14T16:00:00Z,2019-07-01T16:00:00Z,102,17.0,vtrend_sm_floor_exit,23.65248,971.461711,66.4220959550288,0.9925526498035592,0.6439064492030792,1,11
5,2019-07-09T04:00:00Z,2019-07-14T12:00:00Z,32,5.333333,vtrend_sm_floor_exit,-15.778559,-289.107104,3.780348603740925,18.73338498925139,5.173837033014888,0,48
6,2019-08-04T16:00:00Z,2019-08-13T16:00:00Z,54,9.0,vtrend_sm_floor_exit,-0.122106,-6.801493,12.556020821267728,1.6263280761998744,1.009724896265955,0,27
7,2020-01-06T04:00:00Z,2020-01-23T12:00:00Z,104,17.333333,vtrend_sm_floor_exit,11.474106,512.370263,21.86592999393052,1.099601432562234,0.47525186428453087,1,17
8,2020-01-29T00:00:00Z,2020-02-16T20:00:00Z,113,18.833333,vtrend_sm_floor_exit,3.97092,189.792136,12.12777192238306,2.8972427268620566,0.672576296337561,1,23
9,2020-04-06T20:00:00Z,2020-04-13T04:00:00Z,38,6.333333,vtrend_sm_floor_exit,-7.450526,-235.609374,3.52455818413883,8.753048711043911,3.113889347473042,0,41
10,2020-04-23T16:00:00Z,2020-05-10T04:00:00Z,99,16.5,vtrend_sm_floor_exit,14.301411,568.982641,33.5799498123184,1.9679478282101617,0.5741086249404189,1,16
11,2020-05-31T00:00:00Z,2020-06-11T20:00:00Z,71,11.833333,vtrend_sm_floor_exit,-4.489027,-179.962726,6.92851289037604,6.123358577071595,1.6479062781618585,0,34
12,2020-07-23T00:00:00Z,2020-08-22T00:00:00Z,180,30.0,vtrend_sm_floor_exit,20.907724,1676.831917,30.86081074670458,0.916808027234711,0.32251540079086877,1,8
13,2020-09-01T08:00:00Z,2020-09-03T16:00:00Z,14,2.333333,vtrend_sm_floor_exit,-10.691102,-754.613096,0.9650343101265014,12.363504741663602,12.07846828637477,0,65
14,2020-09-19T12:00:00Z,2020-09-21T12:00:00Z,12,2.0,vtrend_sm_floor_exit,-4.708225,-211.447402,0.2596893556146948,7.662947828475909,19.130219426419877,0,39
15,2020-10-09T12:00:00Z,2020-11-26T12:00:00Z,288,48.0,vtrend_sm_floor_exit,54.435789,2801.758552,76.14448286887402,0.4457192360487814,0.2850987103853324,1,4
16,2020-12-15T04:00:00Z,2021-01-11T16:00:00Z,165,27.5,vtrend_sm_floor_exit,61.808106,2711.599118,115.1373119457832,2.3035567922009488,0.4631791818354704,1,5
17,2021-02-06T04:00:00Z,2021-02-23T12:00:00Z,104,17.333333,vtrend_sm_floor_exit,17.466698,462.262478,48.00469530250809,5.263785555380729,0.6361460500909081,1,19
18,2021-03-09T04:00:00Z,2021-03-23T00:00:00Z,83,13.833333,vtrend_sm_floor_exit,-1.436758,-66.197594,12.819500204413853,3.3051288995705925,1.1120759762151502,0,30
19,2021-04-02T04:00:00Z,2021-04-07T12:00:00Z,32,5.333333,vtrend_sm_floor_exit,-5.472303,-301.733202,0.7991212552059602,6.567982878402022,7.847900696358783,0,49
20,2021-04-10T08:00:00Z,2021-04-18T04:00:00Z,47,7.833333,vtrend_sm_floor_exit,-9.921689,-648.562057,6.32334650005825,16.501892595700852,2.5690566695828867,0,64
21,2021-05-03T08:00:00Z,2021-05-13T00:00:00Z,58,9.666667,vtrend_sm_floor_exit,-15.904138,-534.568031,1.1102026391124842,21.830767707576904,15.325437032570964,0,62
22,2021-07-25T08:00:00Z,2021-08-19T04:00:00Z,149,24.833333,vtrend_sm_floor_exit,26.699288,1138.732719,38.622813395085984,2.4985857541868355,0.3087171634317822,1,10
23,2021-08-20T16:00:00Z,2021-08-26T08:00:00Z,34,5.666667,vtrend_sm_floor_exit,-3.941674,-186.328153,3.55339781279016,4.525797273317066,2.1092689891945877,0,36
24,2021-09-03T16:00:00Z,2021-09-07T16:00:00Z,24,4.0,vtrend_sm_floor_exit,-7.888355,-450.224175,4.582886330688796,15.331635899281617,2.721263507492319,0,54
25,2021-09-18T08:00:00Z,2021-09-20T04:00:00Z,11,1.833333,vtrend_sm_floor_exit,-6.520204,-330.448311,0.3161984737146958,8.684175519814916,21.6206055437293,0,50
26,2021-10-03T20:00:00Z,2021-10-27T12:00:00Z,142,23.666667,vtrend_sm_floor_exit,19.830398,785.27482,37.22886635648426,3.9582272787775583,0.4673381184880995,1,13
27,2021-11-02T16:00:00Z,2021-11-16T04:00:00Z,81,13.5,vtrend_sm_floor_exit,-5.050135,-265.09835,7.673240234316882,6.293071361293786,1.6581489495681865,0,45
28,2022-02-07T00:00:00Z,2022-02-17T20:00:00Z,65,10.833333,vtrend_sm_floor_exit,-3.011904,-159.759962,7.963189032042853,5.579722259427994,1.3782283690466828,0,33
29,2022-03-24T16:00:00Z,2022-04-06T16:00:00Z,78,13.0,vtrend_sm_floor_exit,-1.30393,-87.999927,7.790000564433829,3.4223663894584018,1.1673850969861603,0,31
30,2022-07-18T08:00:00Z,2022-07-25T04:00:00Z,41,6.833333,vtrend_sm_floor_exit,-1.8964,-90.576123,9.01985871550306,3.952641985407462,1.2102471956396086,0,32
31,2022-07-30T16:00:00Z,2022-08-04T20:00:00Z,31,5.166667,vtrend_sm_floor_exit,-8.644289,-355.73433,0.1707348892177686,8.76173558519946,51.62989198988146,0,52
32,2022-08-11T04:00:00Z,2022-08-17T16:00:00Z,39,6.5,vtrend_sm_floor_exit,-4.025621,-202.671121,3.542774493184795,4.569855599641672,2.1362904999299426,0,37
33,2022-10-25T20:00:00Z,2022-11-08T08:00:00Z,81,13.5,vtrend_sm_floor_exit,-2.559221,-252.628261,5.834041632049544,4.693121421820743,1.4386703354910628,0,42
34,2022-12-13T12:00:00Z,2022-12-16T20:00:00Z,20,3.333333,vtrend_sm_floor_exit,-3.512873,-379.134106,5.304052160579639,5.351397662350018,1.6622998593618856,0,53
35,2023-01-09T00:00:00Z,2023-02-09T04:00:00Z,187,31.166667,vtrend_sm_floor_exit,31.167996,3543.867669,41.417665463129474,0.2720640799599147,0.24747096072456956,1,2
36,2023-02-16T04:00:00Z,2023-02-24T16:00:00Z,51,8.5,vtrend_sm_floor_exit,-5.77804,-453.100264,1.994084186955129,7.735989869693564,3.8975908027347583,0,55
37,2023-03-14T16:00:00Z,2023-04-17T12:00:00Z,203,33.833333,vtrend_sm_floor_exit,7.159693,688.770979,12.451301078241611,13.314738087042386,0.42498434862269824,1,14
38,2023-06-20T20:00:00Z,2023-07-17T20:00:00Z,162,27.0,vtrend_sm_floor_exit,3.261858,473.131134,10.005467794240936,3.595361670437134,0.6739924542181327,1,18
39,2023-09-18T12:00:00Z,2023-09-25T00:00:00Z,39,6.5,vtrend_sm_floor_exit,-3.677939,-491.723965,0.9556538057044018,4.493957700971363,4.8486102164256355,0,60
40,2023-10-02T00:00:00Z,2023-10-11T04:00:00Z,55,9.166667,vtrend_sm_floor_exit,-3.649027,-458.828403,2.030741721536908,3.7352089874159096,2.796893697165162,0,57
41,2023-10-23T04:00:00Z,2023-11-14T20:00:00Z,136,22.666667,vtrend_sm_floor_exit,11.038271,1375.412338,19.58382240871833,4.404530671722559,0.43635768494888005,1,9
42,2023-11-24T16:00:00Z,2023-12-11T04:00:00Z,99,16.5,vtrend_sm_floor_exit,10.47572,887.303207,16.83424470511036,4.057391042718434,0.377713691139354,1,12
43,2024-01-02T00:00:00Z,2024-01-13T00:00:00Z,66,11.0,vtrend_sm_floor_exit,-3.35515,-214.471634,10.731203062313009,7.854922600990358,1.3126536680479914,0,40
44,2024-02-08T00:00:00Z,2024-03-17T00:00:00Z,228,38.0,vtrend_sm_floor_exit,46.946465,3784.311155,66.1870192663488,0.1415973840297786,0.29069981515440735,1,1
45,2024-03-25T20:00:00Z,2024-04-01T16:00:00Z,41,6.833333,vtrend_sm_floor_exit,-4.030499,-253.065121,1.0385076223215732,4.179826164316968,4.881049029750846,0,43
46,2024-04-08T12:00:00Z,2024-04-12T20:00:00Z,26,4.333333,vtrend_sm_floor_exit,-7.863619,-573.187927,0.4436862219162507,10.19581525520428,18.72337884651356,0,63
47,2024-05-17T16:00:00Z,2024-06-11T08:00:00Z,148,24.666667,vtrend_sm_floor_exit,-0.364959,-54.192292,6.268842680261644,2.7935636835432804,1.0582179229268467,0,28
48,2024-07-16T00:00:00Z,2024-07-25T00:00:00Z,54,9.0,vtrend_sm_floor_exit,0.805463,55.749443,5.688868670649606,3.728360815472195,0.8584142038371182,1,26
49,2024-07-27T16:00:00Z,2024-07-31T20:00:00Z,25,4.166667,vtrend_sm_floor_exit,-5.399967,-472.093494,1.693629851511245,6.36000469865906,4.188398571967511,0,59
50,2024-08-23T20:00:00Z,2024-08-28T00:00:00Z,25,4.166667,vtrend_sm_floor_exit,-6.975889,-465.73817,1.8702065482092487,9.04712945352552,4.7300099321540285,0,58
51,2024-09-17T16:00:00Z,2024-10-01T16:00:00Z,84,14.0,vtrend_sm_floor_exit,1.046862,84.031001,7.396809637397067,4.43043804428638,0.858471144815295,1,25
52,2024-10-14T08:00:00Z,2024-10-23T12:00:00Z,55,9.166667,vtrend_sm_floor_exit,2.116126,234.181433,6.998049958126193,0.9722824266508432,0.6976120472614321,1,21
53,2024-10-28T20:00:00Z,2024-11-03T04:00:00Z,32,5.333333,vtrend_sm_floor_exit,-1.991546,-264.375202,5.6248249623874536,2.6334102522590705,1.354063639902972,0,44
54,2024-11-06T04:00:00Z,2024-11-26T00:00:00Z,119,19.833333,vtrend_sm_floor_exit,24.850049,2125.505581,33.8136700637144,2.3737145225920955,0.2650886770594388,1,6
55,2024-12-05T04:00:00Z,2024-12-19T00:00:00Z,83,13.833333,vtrend_sm_floor_exit,-2.874983,-272.218357,5.128713152759549,12.193030739114382,1.5605661526328665,0,46
56,2025-01-06T04:00:00Z,2025-01-08T08:00:00Z,13,2.166667,vtrend_sm_floor_exit,-3.606311,-280.016765,3.6189928855899782,4.632770168910101,1.9964957417737752,0,47
57,2025-01-17T12:00:00Z,2025-01-27T08:00:00Z,59,9.833333,vtrend_sm_floor_exit,-3.313349,-185.563803,7.082417952561608,4.457787042290759,1.4678273750847493,0,35
58,2025-04-21T04:00:00Z,2025-05-29T20:00:00Z,232,38.666667,vtrend_sm_floor_exit,16.468701,2007.464837,23.47491000027217,4.742183332351199,0.29845520175331625,1,7
59,2025-06-09T12:00:00Z,2025-06-13T04:00:00Z,22,3.666667,vtrend_sm_floor_exit,-3.424613,-454.609381,2.468942257645312,4.823241895755719,2.387076991936674,0,56
60,2025-06-29T12:00:00Z,2025-07-01T16:00:00Z,13,2.166667,vtrend_sm_floor_exit,-2.520005,-333.005972,0.1882070139875914,2.94508988773803,14.3895381824938,0,51
61,2025-07-02T20:00:00Z,2025-07-25T04:00:00Z,134,22.333333,vtrend_sm_floor_exit,3.409447,662.794143,10.506804523720138,3.81841734855,0.6755010534075474,1,15
62,2025-08-11T00:00:00Z,2025-08-18T04:00:00Z,43,7.166667,vtrend_sm_floor_exit,-3.525465,-492.592263,4.23771342316064,3.797628007436258,1.8319262413385615,0,61
63,2025-09-11T04:00:00Z,2025-09-22T04:00:00Z,66,11.0,vtrend_sm_floor_exit,-0.187881,-59.773358,2.744324701710381,2.5715394261982985,1.0684616510148761,0,29
64,2025-10-01T16:00:00Z,2025-10-10T16:00:00Z,54,9.0,vtrend_sm_floor_exit,1.156035,223.911945,7.36630914091189,1.3516225073535355,0.8430645554122248,1,22
65,2026-01-04T04:00:00Z,2026-01-19T00:00:00Z,89,14.833333,vtrend_sm_floor_exit,2.029273,282.570705,6.766605505667214,2.6246416568864026,0.7001047277988307,1,20
