removal_index,removal_pct,remaining_terminal_value,remaining_cagr,remaining_sharpe,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,90430.03,40.32176,0.820877,0.0,0.0,0.0
1,1.54,48316.94,27.422482,0.713126,42113.09,12.899278,0.107751
2,3.08,29860.64,18.329266,0.586853,18456.3,9.093216,0.126273
3,4.62,19335.31,10.676145,0.443157,10525.33,7.653121,0.143696
4,6.15,13158.06,4.312711,0.280013,6177.25,6.363434,0.163144
5,7.69,10031.46,0.048335,0.137565,3126.6,4.264376,0.142448
6,9.23,7917.53,-3.528628,-0.004321,2113.93,3.576963,0.141886
7,10.77,6341.64,-6.767051,-0.156138,1575.89,3.238423,0.151817
8,12.31,5128.6,-9.763058,-0.324372,1213.04,2.996007,0.168234
9,13.85,4241.74,-12.360653,-0.497066,886.86,2.597595,0.172694
10,15.38,3539.79,-14.76619,-0.690538,701.95,2.405537,0.193472
11,16.92,3013.44,-16.851238,-0.890289,526.35,2.085048,0.199751
12,18.46,2587.34,-18.778735,-1.116831,426.1,1.927497,0.226542
13,20.0,2263.61,-20.431946,-1.350329,323.73,1.653211,0.233498
