candidate_label,n_threshold,skipped_trade_episode_id,skipped_trade_was_win,skipped_trade_return_pct,skipped_trade_pnl_usd,native_top10_flag,unit_size_top10_flag
,2,7,1,11.474106,512.370263,0,0
,2,15,1,54.435789,2801.758552,1,1
,2,20,0,-9.921689,-648.562057,0,0
,2,25,0,-6.520204,-330.448311,0,0
,2,29,0,-1.30393,-87.999927,0,0
,2,32,0,-4.025621,-202.671121,0,0
,2,35,1,31.167996,3543.867669,1,1
,2,41,1,11.038271,1375.412338,1,0
,2,47,0,-0.364959,-54.192292,0,0
,2,51,1,1.046862,84.031001,0,0
,2,57,0,-3.313349,-185.563803,0,0
,2,61,1,3.409447,662.794143,0,0
,2,64,1,1.156035,223.911945,0,0
,3,21,0,-15.904138,-534.568031,0,0
,3,26,1,19.830398,785.27482,0,1
,3,30,0,-1.8964,-90.576123,0,0
,3,34,0,-3.512873,-379.134106,0,0
,3,48,1,0.805463,55.749443,0,0
,3,58,1,16.468701,2007.464837,1,0
,4,22,1,26.699288,1138.732719,1,1
,4,31,0,-8.644289,-355.73433,0,0
,5,32,0,-4.025621,-202.671121,0,0
