strategy,scenario,sharpe,cagr_pct,max_drawdown_mid_pct,calmar,trades,win_rate_pct,profit_factor,avg_exposure,time_in_market_pct,turnover_per_year
E0_EMA21,smart,1.5877,71.4,37.29,1.9148,174,43.1,1.8699,0.4551,45.51,48.11
E0_EMA21,base,1.4739,64.05,38.63,1.658,174,41.38,1.7307,0.4551,45.51,48.14
E0_EMA21,harsh,1.3536,56.62,40.01,1.4151,174,40.23,1.6034,0.4551,45.51,48.15
X1,smart,1.4933,67.73,39.43,1.7178,204,43.63,1.612,0.4896,48.96,57.64
X1,base,1.3641,59.32,42.51,1.3955,204,42.16,1.5002,0.4896,48.96,57.46
X1,harsh,1.2277,50.9,45.59,1.1165,204,40.69,1.3999,0.4896,48.96,57.23
