strategy,sharpe_median,sharpe_p5,sharpe_p95,cagr_median,cagr_p5,cagr_p95,mdd_median,mdd_p5,mdd_p95,p_cagr_gt0,p_sharpe_gt0
E0_EMA21,0.2688511035391144,-0.42684253618910734,0.9686985971797155,3.4800823162653316,-17.298542895013117,31.7870534798148,62.532765699619674,43.098760999428876,85.4006493575741,0.594,0.74
X1,0.2729969063789109,-0.45282047283327503,0.949227448196503,3.0585708261100963,-21.15954090216279,36.148270366569626,69.26598899757757,48.73673813146905,90.73772040624377,0.562,0.714
