strategy,sharpe,cagr,mdd,calmar
BTC-only,0.7354,18.85,39.48,0.4775
EW,0.1419,-2.07,61.09,-0.0339
IV,0.1592,-0.29,55.21,-0.0052
BC,0.2591,3.12,54.01,0.0577
