path,btc_sharpe,port_sharpe,d_sharpe,d_mdd
0,1.3077,1.7219,0.4142,-13.11
1,0.84,1.381,0.541,12.28
2,1.3484,1.3017,-0.0467,3.81
3,1.15,1.37,0.22,44.63
4,0.7781,2.1631,1.385,42.61
5,0.5532,0.8256,0.2724,-28.32
6,0.781,1.0907,0.3097,22.96
7,1.3215,1.6555,0.334,20.85
8,0.6583,1.1731,0.5148,8.77
9,1.4806,1.9626,0.482,-9.2
10,0.9128,1.4719,0.5591,-6.86
11,1.1741,1.8465,0.6724,-21.12
12,0.3386,1.449,1.1104,10.65
13,0.8522,0.6717,-0.1805,-7.64
14,0.0462,0.9989,0.9527,-11.03
15,-0.395,1.2405,1.6355,-38.33
16,0.0511,0.9173,0.8662,-43.75
17,-0.2377,1.2651,1.5028,-22.87
18,0.365,1.4898,1.1248,-1.93
19,0.8748,1.1691,0.2943,-18.92
20,0.8522,1.9117,1.0595,3.43
21,0.6197,1.5549,0.9352,-10.46
22,0.2723,1.4986,1.2263,-13.04
23,1.3548,1.3701,0.0153,-12.06
24,-0.6908,0.7453,1.4361,-36.22
25,0.7696,2.0724,1.3028,-7.69
26,1.1733,1.0005,-0.1728,23.38
27,0.735,1.2426,0.5076,-20.54
28,1.0481,0.7801,-0.268,-8.19
29,-0.5239,2.1491,2.673,-2.45
30,0.0458,0.5457,0.4999,-12.69
31,-0.1711,1.0928,1.2639,-16.58
32,0.5503,1.4805,0.9302,-23.39
33,0.5183,0.9262,0.4079,-42.06
34,0.8623,1.4867,0.6244,-7.21
35,1.7391,1.5483,-0.1908,-7.05
36,0.2018,1.4748,1.273,-43.94
37,-0.3848,1.0171,1.4019,1.39
38,0.3435,1.3674,1.0239,-42.32
39,0.249,0.9806,0.7316,1.81
40,0.3596,1.0349,0.6753,-7.49
41,0.2515,1.6874,1.4359,13.25
42,0.0983,1.1685,1.0702,-17.54
43,1.9915,1.8885,-0.103,-7.18
44,1.1402,1.1401,-0.0001,9.11
45,-1.2354,1.1929,2.4283,-17.83
46,1.0986,1.1454,0.0468,4.45
47,0.4406,0.7386,0.298,-11.4
48,0.4724,1.3837,0.9113,-16.46
49,0.4877,1.5134,1.0257,29.56
50,0.6833,1.0081,0.3248,-15.27
51,0.8581,2.2416,1.3835,-20.43
52,0.6444,1.2202,0.5758,44.29
53,1.1205,1.1426,0.0221,14.06
54,1.1249,1.2298,0.1049,-19.23
55,0.545,0.9909,0.4459,-10.62
56,0.6307,1.7781,1.1474,-20.6
57,0.8914,1.0493,0.1579,2.29
58,0.5415,1.1385,0.597,-16.03
59,1.0644,1.9799,0.9155,-0.17
60,-0.211,0.9679,1.1789,-3.72
61,1.1699,1.0529,-0.117,32.35
62,0.9387,1.1402,0.2015,-27.36
63,-0.5442,0.9905,1.5347,-25.99
64,-0.6777,1.4366,2.1143,-2.51
65,0.1297,0.8114,0.6817,-18.5
66,1.4246,0.9433,-0.4813,12.32
67,1.25,1.7988,0.5488,-6.82
68,0.5179,1.5423,1.0244,1.58
69,-0.2824,0.7906,1.073,-21.06
70,0.4323,1.2642,0.8319,30.83
71,1.4406,1.2904,-0.1502,1.85
72,0.5143,1.2521,0.7378,10.2
73,1.074,1.4773,0.4033,-21.1
74,0.1086,1.7237,1.6151,30.58
75,-0.4461,1.5714,2.0175,-34.06
76,0.8644,2.0102,1.1458,-17.95
77,1.1306,1.2164,0.0858,-5.42
78,0.4961,1.2702,0.7741,17.43
79,1.507,1.6112,0.1042,-5.63
80,1.0569,1.3435,0.2866,-4.06
81,0.6692,0.6814,0.0122,10.74
82,-0.0332,1.6728,1.706,33.48
83,0.2839,1.0047,0.7208,-8.34
84,1.241,2.2503,1.0093,17.43
85,-0.0123,0.9354,0.9477,33.64
