coin,mdd
BTCUSDT,39.482301727849446
ETHUSDT,46.85581287900972
BNBUSDT,57.92174100027925
SOLUSDT,66.44256074214816
XRPUSDT,81.44094289924719
LTCUSDT,89.02556116212075
ADAUSDT,77.90610092578349
DOGEUSDT,76.86119195565449
TRXUSDT,66.60732707370438
AVAXUSDT,69.50089840169123
LINKUSDT,71.15841542978167
BCHUSDT,73.55605540757213
HBARUSDT,81.12017630394946
XLMUSDT,68.74181265000968
PORTFOLIO,61.093721409037485
BTC-only,39.48230172784943
