fold,year,btc_sharpe,port_sharpe,d_sharpe,d_mdd,win
1,2022,-0.978,-1.5252,-0.5472,2.99,False
2,2023,1.3144,1.3245,0.0101,-3.15,True
3,2024,1.5553,1.3935,-0.1618,2.52,False
4,2025,0.0481,-0.6172,-0.6653,9.34,False
