coin,strategy,sharpe,cagr,mdd,trades,n_positive_plateau,pass_screen
BTCUSDT,E5+EMA1D,1.2166,46.79,43.15,216,9,True
ETHUSDT,E5+EMA1D,1.1525,56.48,46.86,209,9,True
BNBUSDT,E0+EMA1D,1.1932,67.18,57.92,203,9,True
SOLUSDT,E0+EMA1D,0.9136,46.15,71.4,130,9,True
XRPUSDT,E0+EMA1D,0.3498,2.01,91.05,171,9,True
LTCUSDT,E0+EMA1D,0.3364,1.66,89.03,191,9,True
ADAUSDT,E0+EMA1D,0.4182,6.27,79.84,181,9,True
DOGEUSDT,E0+EMA1D,1.0729,94.29,86.53,141,9,True
TRXUSDT,E0+EMA1D,0.4787,11.69,74.61,221,9,True
AVAXUSDT,E0+EMA1D,0.3892,5.24,69.5,115,9,True
LINKUSDT,E0+EMA1D,0.3988,4.16,84.56,177,9,True
BCHUSDT,E0+EMA1D,0.2775,-2.1,78.87,152,9,True
HBARUSDT,E0+EMA1D,0.4259,3.11,88.78,144,9,True
XLMUSDT,E0+EMA1D,0.6467,23.81,68.74,160,9,True
