symbol,interval,open_time,close_time,open,high,low,close,volume,quote_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol
BTCUSDT,4h,1771459200000,1771473599999,66461.0,66997.07,66345.0,66980.91,1337.23292,89215477.4247236,411220,729.52396,48663843.9168477
BTCUSDT,4h,1771473600000,1771487999999,66980.91,67320.0,66679.76,67206.45,1593.15988,106782407.8013098,440550,793.22494,53175928.2442117
BTCUSDT,4h,1771488000000,1771502399999,67206.45,67206.45,66478.02,66496.02,1879.33579,125701951.6413813,566297,764.42525,51129024.3047542
BTCUSDT,4h,1771502400000,1771516799999,66496.03,66755.39,65631.83,66398.0,4451.59374,294777171.25897807,1509439,2222.34398,147180104.6343722
BTCUSDT,4h,1771516800000,1771531199999,66398.01,67198.1,65899.25,67050.0,3411.99791,227326562.88912687,1229638,1756.27185,117026346.0533748
BTCUSDT,4h,1771531200000,1771545599999,67050.0,67168.86,66652.34,67003.73,1868.94964,125060001.7666329,522207,840.91743,56280975.9185465
BTCUSDT,4h,1771545600000,1771559999999,67003.73,67488.67,66949.41,67366.25,1472.92111,99110593.9634002,459722,766.04578,51547028.309602
BTCUSDT,4h,1771560000000,1771574399999,67366.25,68006.0,67115.38,67825.91,2411.4783,163260352.8293299,489308,1263.08346,85538218.4720763
BTCUSDT,4h,1771574400000,1771588799999,67825.91,68318.39,67280.6,67318.41,3414.63472,231878790.4103248,541347,1470.41187,99927469.4011592
BTCUSDT,4h,1771588800000,1771603199999,67318.41,68083.98,66280.2,67582.95,16088.45139,1076569222.8511877,1705792,6024.6806,403783916.04764754
BTCUSDT,4h,1771603200000,1771617599999,67582.95,68000.0,66952.11,67646.03,9574.1468,645056109.1630121,1395777,3922.3762,264654733.10474488
BTCUSDT,4h,1771617600000,1771631999999,67646.03,68233.99,67520.3,68020.01,2390.23859,162204081.3505927,452966,1554.86243,105518677.8100114
BTCUSDT,4h,1771632000000,1771646399999,68020.0,68099.54,67534.69,67667.77,1582.09541,107364098.1290507,262118,813.21099,55197261.1303753
BTCUSDT,4h,1771646400000,1771660799999,67667.77,67924.39,67593.99,67856.01,716.23217,48558986.6761004,166977,365.61104,24785950.2149247
BTCUSDT,4h,1771660800000,1771675199999,67856.01,68314.54,67807.3,68092.45,1384.49772,94339705.7247532,248922,735.48392,50122172.0507159
BTCUSDT,4h,1771675200000,1771689599999,68092.45,68698.7,67915.0,68615.0,1818.30536,124341927.9955416,345267,944.07299,64573284.1087938
BTCUSDT,4h,1771689600000,1771703999999,68615.01,68658.5,68101.78,68543.51,1410.16439,96460314.9543123,296404,679.45506,46469407.0499819
BTCUSDT,4h,1771704000000,1771718399999,68543.51,68605.63,67900.0,67975.93,1121.54626,76527045.3674407,273851,465.62806,31771618.1224884
BTCUSDT,4h,1771718400000,1771732799999,67975.93,68222.16,67809.78,68041.43,1114.48202,75773591.3648503,294020,550.5225,37435992.2107995
BTCUSDT,4h,1771732800000,1771747199999,68041.42,68178.79,67881.81,68005.3,923.792,62843242.0925301,234831,398.28765,27095532.4250616
BTCUSDT,4h,1771747200000,1771761599999,68005.3,68245.0,67912.02,68219.97,733.14137,49907325.461369,206443,321.22134,21872463.1314813
BTCUSDT,4h,1771761600000,1771775999999,68219.97,68232.4,67303.5,67684.14,2531.23331,171259766.2074006,650400,1045.8129,70755409.1418354
BTCUSDT,4h,1771776000000,1771790399999,67684.15,67718.13,67190.0,67428.32,1575.66204,106232820.2557924,386156,840.19008,56653370.7924528
BTCUSDT,4h,1771790400000,1771804799999,67428.32,67751.44,67350.0,67643.4,1296.8241,87596590.1954712,389050,818.2584,55268325.9093077
BTCUSDT,4h,1771804800000,1771819199999,67643.39,67684.86,64290.71,64934.17,11022.665,719316556.6220676,2248116,5722.33327,373353721.11510897
