peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13503.38,2019-05-23T07:59:59Z,12375.03,2019-05-26T19:59:59Z,8.36,66,87,11.0,14.5
2019-05-30T15:59:59Z,14322.41,2019-06-09T23:59:59Z,12976.92,2019-06-14T23:59:59Z,9.39,62,92,10.3,15.3
2019-06-26T19:59:59Z,20441.71,2019-07-30T03:59:59Z,17932.34,2019-08-05T03:59:59Z,12.28,200,236,33.3,39.3
2019-08-06T07:59:59Z,22591.76,2019-10-24T03:59:59Z,17437.94,2019-10-27T19:59:59Z,22.81,473,495,78.8,82.5
2019-10-27T19:59:59Z,22673.57,2020-07-05T15:59:59Z,15854.43,2020-11-05T19:59:59Z,30.08,1511,2250,251.8,375.0
2020-11-06T07:59:59Z,23531.08,2020-11-12T03:59:59Z,21985.57,2020-11-17T11:59:59Z,6.57,35,67,5.8,11.2
2020-11-21T15:59:59Z,25952.93,2020-11-27T15:59:59Z,24172.26,2020-11-30T15:59:59Z,6.86,36,54,6.0,9.0
2020-11-30T23:59:59Z,26563.55,2020-12-11T11:59:59Z,24732.09,2020-12-16T15:59:59Z,6.89,63,94,10.5,15.7
2021-01-03T07:59:59Z,37410.62,2021-01-24T19:59:59Z,34988.28,2021-04-26T11:59:59Z,6.48,129,679,21.5,113.2
2021-05-03T07:59:59Z,40339.08,2021-09-28T23:59:59Z,30338.67,2021-10-06T23:59:59Z,24.79,892,940,148.7,156.7
2021-10-20T15:59:59Z,48656.91,2021-10-27T23:59:59Z,44089.28,2021-11-08T23:59:59Z,9.39,44,116,7.3,19.3
2021-11-09T03:59:59Z,49871.53,2023-06-15T15:59:59Z,34258.31,2023-12-05T15:59:59Z,31.31,3501,4539,583.5,756.5
2023-12-09T07:59:59Z,52409.72,2023-12-18T03:59:59Z,47388.67,2024-01-08T19:59:59Z,9.58,53,183,8.8,30.5
2024-01-11T11:59:59Z,53521.73,2024-01-23T19:59:59Z,47132.73,2024-02-08T15:59:59Z,11.94,74,169,12.3,28.2
2024-03-04T23:59:59Z,68433.31,2024-03-23T03:59:59Z,63523.92,2024-03-28T15:59:59Z,7.17,109,142,18.2,23.7
2024-03-28T15:59:59Z,68612.91,2024-05-01T15:59:59Z,60208.95,2024-05-20T19:59:59Z,12.25,204,319,34.0,53.2
2024-05-20T23:59:59Z,70777.19,2024-08-07T19:59:59Z,46162.11,2025-01-17T19:59:59Z,34.78,473,1451,78.8,241.8
2025-01-20T11:59:59Z,73034.02,2025-03-31T03:59:59Z,50496.38,2025-10-05T07:59:59Z,30.86,418,1547,69.7,257.8
2025-10-06T19:59:59Z,73779.62,2025-11-13T23:59:59Z,66320.9,,10.11,229,,38.2,
