entry_idx,exit_idx,entry_dt,exit_dt,entry_px,exit_px,gross_ret,net_ret,hold_days
14524,14543,2024-04-05 16:00:00,2024-04-08 20:00:00,68190.62,71766.0,0.05243213802719504,0.05032832618327876,3.1666666666666665
14784,14860,2024-05-19 00:00:00,2024-05-31 16:00:00,66915.2,67215.58,0.004488965137965817,0.002480991696655055,12.666666666666666
15678,15793,2024-10-15 00:00:00,2024-11-03 04:00:00,66084.0,68379.9,0.03474214635917905,0.03267369680860699,19.166666666666668
15808,15982,2024-11-05 16:00:00,2024-12-04 16:00:00,69640.0,95742.8,0.37482481332567485,0.37207653852383693,29.0
15984,15989,2024-12-05 00:00:00,2024-12-05 20:00:00,98587.32,99028.01,0.004470047466550442,0.0024621118416647825,0.8333333333333334
16031,16069,2024-12-12 20:00:00,2024-12-19 04:00:00,99481.33,101193.15,0.0172074498802941,0.015174052187983511,6.333333333333333
16236,16265,2025-01-16 00:00:00,2025-01-20 20:00:00,100497.35,103691.64,0.031784818206649135,0.029722280355054087,4.833333333333333
16290,16330,2025-01-25 00:00:00,2025-01-31 16:00:00,104870.51,105464.0,0.005659264935395036,0.0036489520647891016,6.666666666666667
16851,17045,2025-04-28 12:00:00,2025-05-30 20:00:00,95319.99,104640.49,0.09778116846214524,0.09558670390638957,32.333333333333336
17246,17377,2025-07-03 08:00:00,2025-07-25 04:00:00,109279.99,115419.65,0.05618283823049386,0.054071528736871155,21.833333333333332
17493,17500,2025-08-13 12:00:00,2025-08-14 16:00:00,120570.41,118257.26,-0.019185055437731413,-0.021145704511911334,1.1666666666666667
