feature,tail,q_on,q_off,mode,sharpe,cagr,mdd,equity_final,trades,exposure,pos_years,min_year_cagr
h4_ret_168,high,0.7,0.5,expanding,1.5659482741015063,0.7007343458343387,-0.33239063517594036,8.364513522853995,23,0.3717056474614946,4,0.03788008651085506
h4_ret_168,high,0.7,0.5,tr1095,1.5313559674966017,0.6776404311938304,-0.33239063517594036,7.919413222903876,23,0.37147746719908725,4,0.05200265995337161
h4_vol_42,high,0.8,0.6,tr365,1.2224499119147336,0.583743450063138,-0.48256045603559605,6.289964715343407,16,0.24004563605248147,4,0.13551523664546283
h4_vol_42,high,0.7,0.6,tr365,1.164920883327528,0.5879090288474609,-0.48256045603559705,6.356394365804895,29,0.3120365088419852,4,0.08010412018956559
h4_range_compress_126,high,0.6,0.5,tr1095,1.1543766582624988,0.5674676293920691,-0.5010676662149752,6.035388794828711,21,0.45624643468339987,4,0.22061896898848166
h4_range_compress_126,high,0.6,0.5,expanding,1.1375788546674275,0.5542476590952181,-0.5010676662149752,5.834363659079881,21,0.45567598402738163,4,0.22061896898848166
h4_atrn_63,high,0.6,0.5,tr1095,1.1348490990706983,0.6020534603873473,-0.5013128241310973,6.585892258041014,18,0.4306902452937821,4,0.10630648051082026
h4_atrn_63,high,0.6,0.5,expanding,1.1284275405369257,0.5964678452796486,-0.5013128241310973,6.494534068976415,18,0.4311466058185967,4,0.09094957880764776
h4_atrn_84,high,0.6,0.5,tr1095,1.1170559389735755,0.5849839308732072,-0.501312824131098,6.309692304260873,15,0.42840844266970907,4,0.034372390229056915
h4_atrn_84,high,0.6,0.5,expanding,1.1125381346085996,0.5811543808791326,-0.501312824131098,6.248939342855798,15,0.4295493439817456,4,0.024406132485754073
h4_atrn_84,high,0.7,0.5,expanding,1.108022058787463,0.5641697954339611,-0.5013128241310978,5.9847625999194305,13,0.400342270393611,4,0.025843003874017834
h4_atrn_84,high,0.7,0.5,tr1095,1.1080166143436792,0.5637921636788876,-0.5013128241310978,5.978985834523348,13,0.39908727895037077,4,0.02485213560681032
h4_atrn_63,high,0.7,0.5,expanding,1.1055477074230577,0.5676200332828918,-0.5013128241310975,6.037736137537322,15,0.4051340559041643,4,0.08221675692227981
h4_atrn_63,high,0.7,0.5,tr1095,1.0868307747347372,0.5516792940188116,-0.5013128241310975,5.795898813315538,15,0.4044495151169424,4,0.038840230049622226
h4_vol_126,high,0.6,0.5,expanding,1.0773171712340872,0.5362513500778092,-0.5013128241310985,5.568830840642111,13,0.39292641186537364,4,0.03915706630401372
h4_vol_126,high,0.6,0.5,tr1095,1.069305079756366,0.5295533693445902,-0.5013128241310985,5.472355740515869,13,0.3925841414717627,4,0.021142360432231166
h4_vol_168,high,0.6,0.5,expanding,1.060356121705051,0.5165234689437996,-0.5013128241310973,5.288274857636852,13,0.387564175698802,4,0.06432827136380914
h4_vol_168,high,0.6,0.5,tr1095,1.060356121705051,0.5165234689437996,-0.5013128241310973,5.288274857636852,13,0.387564175698802,4,0.06432827136380914
h4_range_compress_42,low,0.2,0.4,tr365,1.0493116321664777,0.3066011293908182,-0.30835012577517384,2.9141984303627475,46,0.26411865373645177,4,0.026617095013272474
h4_range_compress_168,high,0.7,0.6,tr1095,1.0387310787610262,0.44141598173101215,-0.4338839132380964,4.316034177474833,13,0.34227039361095263,4,0.05028113134468648
h4_range_compress_168,high,0.7,0.6,expanding,1.0380836516696568,0.4409928016928739,-0.4338839132380964,4.310968472057879,13,0.34181403308613806,4,0.05028113134468648
h4_range_compress_42,low,0.2,0.4,tr1095,1.0352180381703797,0.29116296254066154,-0.33553951588583963,2.778904340240545,47,0.253280091272105,4,0.034285180811054916
h4_vol_126,high,0.7,0.5,expanding,1.0132149088691749,0.46024783371805844,-0.5013128241310971,4.546019071033529,10,0.3247005134055904,4,0.04899853395437037
h4_vol_126,high,0.7,0.5,tr1095,1.0132149088691749,0.46024783371805844,-0.5013128241310971,4.546019071033529,10,0.3247005134055904,4,0.04899853395437037
h4_range_compress_42,low,0.2,0.4,expanding,1.0127454633908735,0.28223951830018024,-0.33553951588583963,2.7028837245013877,45,0.2486023958927553,4,0.017738185967698827
h4_range_compress_126,high,0.8,0.6,tr365,0.9843976630401838,0.3603926111256037,-0.26555980416923897,3.424491287102673,13,0.26811180832857956,4,0.05159474612986936
h4_range_compress_84,high,0.8,0.6,expanding,0.9754110905414509,0.3610578686078454,-0.32826231554193863,3.4311939985008433,22,0.2632059326868226,4,0.15069113651610277
h4_vol_84,high,0.6,0.5,tr1095,0.9670730283179845,0.4540326143892628,-0.4917529363389509,4.469124033562181,19,0.4044495151169424,4,0.08622394080628526
h4_vol_84,high,0.6,0.5,expanding,0.9655272199358089,0.45282161266198817,-0.4917529363389509,4.454255745901929,19,0.4044495151169424,4,0.07466901907510048
h4_atrn_42,high,0.8,0.6,tr365,0.9590002046830745,0.41898813422130554,-0.4825604560355967,4.053644941225692,17,0.2922989161437536,4,0.05572221401884381
