sharpe,cagr,mdd,equity_final,days,trades,exposure,year,system
2.3300496991234287,1.4056790596859154,-0.22357088540010972,2.4042340574380807,366,18,0.44758432087511396,2020,new_base
1.8007737409962212,1.073921285555663,-0.21293053031162712,2.068750454456815,365,14,0.32389218821379623,2021,new_base
0.04693619891827841,0.0001470405333281466,-0.09080867586849217,1.00014653727766,365,1,0.03746002740977615,2022,new_base
1.628848813125955,0.6062558444091919,-0.17065793449633437,1.60365284242764,365,20,0.4143444495203289,2023,new_base
2.507458869002679,1.2017859770836248,-0.10712199858881222,2.2005968383128787,366,13,0.35854214123006833,2024,new_base
0.7557815742771196,0.11562334845767341,-0.0897795766630568,1.115205685254424,365,10,0.20374600274097762,2025,new_base
,0.0,0.0,1.0,70,0,0.0,2026,new_base
2.843852933203745,1.4571489721785005,-0.13284229888667243,2.455637472061834,366,7,0.27529626253418416,2020,new_final_flow
1.8181749902902418,1.0880532669365781,-0.2258259685679629,2.082798794171836,365,13,0.32023755139333027,2021,new_final_flow
0.04693619891826612,0.00014704053332725842,-0.09080867586849262,1.000146537277659,365,1,0.03746002740977615,2022,new_final_flow
1.915932367910401,0.7386695122111939,-0.14385965017416524,1.7353814097612943,365,14,0.38145271813613524,2023,new_final_flow
2.449024138204369,1.1309724883836392,-0.1128819150260073,2.1298692505547536,366,11,0.3439635535307517,2024,new_final_flow
1.110538971676448,0.16885674569873843,-0.07612481812257332,1.1682327774806294,365,5,0.18318867062585656,2025,new_final_flow
,0.0,0.0,1.0,70,0,0.0,2026,new_final_flow
2.1656826547546455,1.2423413916815913,-0.23892808872350735,2.2411023523185607,366,20,0.43026435733819507,2020,root_cause_old
1.8114027281755234,1.0763914944783326,-0.212930530311628,2.0712060667445513,365,15,0.3156692553677478,2021,root_cause_old
0.7443271691174904,0.05424923226105971,-0.04179943750146242,1.0540586443847335,365,1,0.03471904979442668,2022,root_cause_old
1.4436674546355253,0.5102124062809936,-0.1837683799854306,1.508083225761534,365,22,0.4061215166742805,2023,root_cause_old
2.0569751765548907,0.846557304698538,-0.13518173874024808,1.8457822887085389,366,17,0.32209567198177674,2024,root_cause_old
0.4656771668164304,0.07235813539075564,-0.15220819410848074,1.072101783305322,365,11,0.24303334856098674,2025,root_cause_old
,0.0,0.0,1.0,70,0,0.0,2026,root_cause_old
2.252096639953874,1.2437164422838847,-0.1995519518372677,2.2424757021770807,366,21,0.37921604375569734,2020,fresh_start_old
1.4259547598029243,0.5048959355240874,-0.1700417884939015,1.502792387526608,365,17,0.2014618547281864,2021,fresh_start_old
0.06446270548399312,0.0020205873230920712,-0.06979262182883106,1.0020136652821958,365,1,0.03471904979442668,2022,fresh_start_old
1.6935439531438763,0.5662960338507714,-0.11616608859056599,1.5638926149641001,365,19,0.3522156235724075,2023,fresh_start_old
0.5132023491439341,0.11319578680764497,-0.27883947802949793,1.1131140830900255,366,17,0.283371298405467,2024,fresh_start_old
-0.48435880686300997,-0.08803420494058267,-0.14379005708450587,0.912253452316428,365,12,0.19963453631795341,2025,fresh_start_old
-1.7643615323925879,-0.10241540885430767,-0.03478340614272424,0.9797953898035865,70,1,0.07211538461538461,2026,fresh_start_old
2.7507508009278094,1.9277854274206665,-0.15850371623475723,2.9256334721253423,366,22,0.41522333637192343,2020,h4d1_old
1.1015912621848327,0.5029756723232701,-0.2668748018681496,1.5008813668576269,365,19,0.3033348560986752,2021,h4d1_old
-0.7484942265862896,-0.08851112437714348,-0.12045809996836987,0.9117780147044411,365,4,0.04751027866605756,2022,h4d1_old
1.9887649840751447,0.7535462244309228,-0.1391012466539696,1.7501789552063853,365,29,0.3663773412517131,2023,h4d1_old
0.3147758802715142,0.051524334608630484,-0.3508747109108812,1.0514881754182663,366,26,0.36674259681093396,2024,h4d1_old
0.15574740921356334,0.012109226662089023,-0.11484198136779733,1.0120675360451012,365,17,0.22110552763819097,2025,h4d1_old
-3.3029873750895926,-0.2219472980275894,-0.06049365973476706,0.9536968041592025,70,1,0.09134615384615384,2026,h4d1_old
