candidate_label,n_threshold,skipped_trade_episode_id,skipped_trade_was_win,skipped_trade_return_pct,skipped_trade_pnl_usd,native_top10_flag,unit_size_top10_flag
,2,22,0,-3.696761,-945.140428,0,0
,2,25,0,-1.67334,-414.916468,0,0
,2,28,0,-0.577875,-153.490757,0,0
,2,36,0,-0.766532,-224.621031,0,0
,2,45,0,-0.032556,-49.970007,0,0
,2,48,0,-3.395678,-930.014541,0,0
,2,51,1,16.840574,4011.561184,0,0
,2,58,0,-3.962348,-1073.691789,0,0
,2,67,0,-3.187471,-2404.844737,0,0
,2,71,1,15.946111,14598.315506,0,0
,2,74,0,-0.264454,-399.786902,0,0
,2,78,1,8.046392,7057.590513,0,0
,2,84,1,31.797029,36615.813013,1,1
,2,87,1,5.847733,8400.769122,0,0
,2,90,1,1.14314,1376.627641,0,0
,2,93,1,11.501257,14708.030817,0,0
,2,96,0,-0.27001,-551.188967,0,0
,2,103,0,-2.893608,-3597.377196,0,0
,2,108,1,1.394546,1314.484292,0,0
,2,115,0,-5.098208,-6883.826841,0,0
,2,118,0,-5.209658,-6025.916612,0,0
,2,126,0,-3.936507,-4437.4398,0,0
,2,129,1,11.639146,11291.574287,0,0
,2,132,0,-1.525959,-1793.128278,0,0
,2,135,1,1.253048,1141.240338,0,0
,2,138,1,25.510553,26099.43534,1,1
,2,152,1,1.114791,1842.702243,0,0
,2,162,0,-0.988068,-2016.215332,0,0
,2,168,1,9.919836,15862.249312,0,0
,2,171,0,-4.12473,-7230.768899,0,0
,2,181,1,1.659733,3615.747153,0,0
,2,185,0,-4.319547,-10616.930919,0,0
,2,191,1,0.901651,1989.199712,0,0
,2,194,1,7.519603,18969.189753,1,0
,2,197,1,1.191636,2754.327406,0,0
,2,203,0,-1.131818,-3214.041881,0,0
,3,23,0,-0.4992,-153.194472,0,0
,3,27,0,-1.130283,-273.850032,0,0
,3,37,1,2.548915,581.467149,0,0
,3,46,0,-1.694585,-502.673422,0,0
,3,50,0,-1.145009,-315.864432,0,0
,3,59,1,20.260746,5027.220929,0,0
,3,68,1,58.342363,40470.000454,1,1
,3,75,1,5.19583,4837.002109,0,0
,3,97,0,-5.257612,-7052.69216,0,0
,3,104,0,-3.814733,-4536.789247,0,0
,3,116,0,-3.666044,-4735.990109,0,0
,3,120,1,9.593545,9395.649246,0,0
,3,127,0,-2.486741,-2742.309219,0,0
,3,133,0,-0.134698,-299.252043,0,0
,3,163,1,0.761749,1069.253401,0,0
,3,172,1,6.166557,9727.211887,0,0
,3,186,1,10.793502,24116.221283,1,0
,3,204,1,0.936881,1943.959981,0,0
,4,24,0,-2.477486,-614.914933,0,0
,4,29,0,-1.730321,-392.966158,0,0
,4,47,0,-1.495258,-439.442466,0,0
,4,98,1,7.324028,8837.353023,0,0
,4,105,1,0.145814,-4.84089,0,0
,4,117,0,-5.393197,-6607.33368,0,0
,4,128,0,-2.499785,-2679.292995,0,0
,4,134,0,-0.744587,-935.733036,0,0
,5,25,0,-1.67334,-414.916468,0,0
,5,48,0,-3.395678,-930.014541,0,0
,5,118,0,-5.209658,-6025.916612,0,0
,5,129,1,11.639146,11291.574287,0,0
,5,135,1,1.253048,1141.240338,0,0
