label,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,calmar,profit_factor,win_rate_pct,trades,avg_trade_pnl,fees_total,fee_drag_pct_per_year,turnover_per_year,avg_exposure,time_in_market_pct,total_return_pct,initial_cash,final_nav_mid
candidate,smart,28.9136,14.72,25.94,0.5767,0.6376,0.5674,1.2728,41.18,17,65.28,115.47,1.5,42.84,0.5646,76.67,9.64,10000.0,10963.96
candidate,base,16.0204,10.33,27.2,0.4608,0.5111,0.3799,1.2258,41.18,17,54.78,325.73,4.28,42.78,0.5647,76.67,6.81,10000.0,10681.39
candidate,harsh,2.8061,5.89,28.64,0.3387,0.3771,0.2056,1.1711,41.18,17,42.25,482.09,6.41,42.71,0.5648,76.67,3.91,10000.0,10390.89
baseline,smart,28.9136,14.72,25.94,0.5767,0.6376,0.5674,1.2728,41.18,17,65.28,115.47,1.5,42.84,0.5646,76.67,9.64,10000.0,10963.96
baseline,base,16.0204,10.33,27.2,0.4608,0.5111,0.3799,1.2258,41.18,17,54.78,325.73,4.28,42.78,0.5647,76.67,6.81,10000.0,10681.39
baseline,harsh,2.8061,5.89,28.64,0.3387,0.3771,0.2056,1.1711,41.18,17,42.25,482.09,6.41,42.71,0.5648,76.67,3.91,10000.0,10390.89
