candidate_trade_id,baseline_trade_id,entry_time,cand_exit_time,base_exit_time,cand_pnl,base_pnl,delta_pnl,cand_return_pct,base_return_pct
1,1,1704153600000,1705118400000,1705118400000,-407.540356,-407.540356,0.0,-4.719389,-4.719389
2,2,1705420800000,1705953600000,1705953600000,-277.127565,-277.127565,0.0,-8.11908,-8.11908
3,3,1706126400000,1708732800000,1708732800000,2032.343772,2032.343772,0.0,23.236744,23.236744
4,4,1708833600000,1709668800000,1709668800000,1305.151918,1305.151918,0.0,12.825613,12.825613
5,5,1710806400000,1712044800000,1712044800000,-191.159641,-191.159641,0.0,-1.439799,-1.439799
6,6,1712246400000,1713052800000,1713052800000,-977.273083,-977.273083,0.0,-8.154933,-8.154933
7,7,1713312000000,1714147200000,1714147200000,25.544327,25.544327,0.0,0.386941,0.386941
8,8,1714449600000,1716494400000,1716494400000,811.530981,811.530981,0.0,7.511081,7.511081
9,9,1716825600000,1718107200000,1718107200000,-432.416091,-432.416091,0.0,-4.011955,-4.011955
10,10,1718280000000,1718740800000,1718740800000,-363.400973,-363.400973,0.0,-4.367541,-4.367541
11,11,1719043200000,1719230400000,1719230400000,-466.146877,-466.146877,0.0,-4.9798,-4.9798
12,12,1719446400000,1720065600000,1720065600000,-368.837006,-368.837006,0.0,-3.556614,-3.556614
13,13,1720281600000,1720411200000,1720411200000,-349.024377,-349.024377,0.0,-4.136764,-4.136764
14,14,1720598400000,1721880000000,1721880000000,412.095669,412.095669,0.0,4.874447,4.874447
15,15,1721980800000,1722456000000,1722456000000,-364.168499,-364.168499,0.0,-3.695513,-3.695513
16,16,1722916800000,1724025600000,1724025600000,212.014371,212.014371,0.0,2.33578,2.33578
17,17,1724126400000,1724774400000,1724774400000,116.669697,116.669697,0.0,1.489588,1.489588
