label,regime,n_trades,total_pnl,win_rate,avg_pnl
baseline,AnalyticalRegime.BULL,11,809.164709,0.363636,73.560428
baseline,AnalyticalRegime.CHOP,1,-277.127565,0.0,-277.127565
baseline,AnalyticalRegime.NEUTRAL,3,740.779737,1.0,246.926579
baseline,AnalyticalRegime.SHOCK,1,-191.159641,0.0,-191.159641
baseline,AnalyticalRegime.TOPPING,1,-363.400973,0.0,-363.400973
candidate,AnalyticalRegime.BULL,11,809.164709,0.363636,73.560428
candidate,AnalyticalRegime.CHOP,1,-277.127565,0.0,-277.127565
candidate,AnalyticalRegime.NEUTRAL,3,740.779737,1.0,246.926579
candidate,AnalyticalRegime.SHOCK,1,-191.159641,0.0,-191.159641
candidate,AnalyticalRegime.TOPPING,1,-363.400973,0.0,-363.400973
