window_id,test_start,test_end,candidate_score,baseline_score,delta_harsh_score,candidate_cagr_pct,baseline_cagr_pct,candidate_max_dd_pct,baseline_max_dd_pct,candidate_sharpe,baseline_sharpe,candidate_trades,baseline_trades,trade_count_candidate,trade_count_baseline,valid_window,invalid_reason,low_trade_window,low_trade_reason
0,2024-07-01,2024-08-01,-100.752,-100.752,0.0,-39.02,-39.02,5.67,5.67,-2.2854,-2.2854,2,2,2,2,True,none,True,both_below_min_trades_for_power
1,2024-08-01,2024-09-01,80.254,80.254,0.0,26.68,26.68,5.99,5.99,0.8685,0.8685,2,2,2,2,True,none,True,both_below_min_trades_for_power
