bps,strategy_id,final_nav,CAGR,MDD,trades,turnover,total_fees,score_primary
0.0,candidate,11120.53,17.17,25.1,17,42.89,0.0,36.1853
0.0,baseline,11120.53,17.17,25.1,17,42.89,0.0,36.1853
10.0,candidate,10960.44,14.66,25.75,17,42.85,106.18,28.8599
10.0,baseline,10960.44,14.66,25.75,17,42.85,106.18,28.8599
25.0,candidate,10774.78,11.78,26.75,17,42.8,263.8,20.3062
25.0,baseline,10774.78,11.78,26.75,17,42.8,263.8,20.3062
50.0,candidate,10390.89,5.89,28.64,17,42.71,518.37,2.8296
50.0,baseline,10390.89,5.89,28.64,17,42.71,518.37,2.8296
75.0,candidate,10051.35,0.77,30.26,17,42.64,765.06,-12.3849
75.0,baseline,10051.35,0.77,30.26,17,42.64,765.06,-12.3849
100.0,candidate,9422.41,-8.49,33.96,16,40.83,955.53,-40.001
100.0,baseline,9422.41,-8.49,33.96,16,40.83,955.53,-40.001
