period,block_size,p_v4_gt_e5,median_delta_sharpe,ci_lo,ci_hi,n_days
dev,10,0.783,0.2571,-0.423,0.9234,1460
dev,20,0.8065,0.2911,-0.3494,0.8829,1460
dev,40,0.8415,0.3285,-0.2974,0.9668,1460
holdout,10,0.9315,0.6322,-0.203,1.4616,781
holdout,20,0.962,0.699,-0.063,1.4072,781
holdout,40,0.985,0.7128,0.0694,1.3762,781
full,10,0.895,0.3592,-0.1861,0.867,2242
full,20,0.936,0.3648,-0.1007,0.8772,2242
full,40,0.9325,0.3899,-0.1035,0.8581,2242
