trade_id,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,1578182400000,1578556800000,7357.13,7946.39,1.35841027,787.98,7.8798,4.33,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
2,1578686400000,1579435200000,8061.27,8677.69,1.33744535,810.99,7.5175,8.67,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
3,1579608000000,1579795200000,8660.22,8354.47,1.33853534,-422.93,-3.6463,2.17,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
4,1579838400000,1581393600000,8323.92,9729.54,1.34183657,1871.58,16.7463,18.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
5,1581436800000,1581796800000,10169.07,9889.56,1.28229976,-373.84,-2.8652,4.17,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
6,1581840000000,1582156800000,9963.56,9590.81,1.27124947,-488.78,-3.8566,3.67,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
7,1585929600000,1586520000000,6716.03,6895.48,1.81322913,310.59,2.5489,6.83,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
8,1586721600000,1586966400000,7114.98,6699.22,1.75518425,-744.28,-5.9563,2.83,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
9,1586980800000,1587412800000,6732.7,6766.23,1.74436096,44.36,0.3775,5.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
10,1587643200000,1588248000000,7136.74,8834.45,1.65181736,2788.46,23.6397,7.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
11,1588262400000,1589083200000,8780.45,8619.28,1.65998178,-284.87,-1.9533,9.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
12,1589169600000,1590076800000,8699.72,9078.87,1.64266121,605.29,4.233,10.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
13,1590206400000,1590364800000,9289.82,8714.65,1.60343366,-939.57,-6.3039,1.83,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
14,1590696000000,1591113600000,9456.02,9464.29,1.47594952,-4.55,-0.0326,4.83,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
15,1591228800000,1591891200000,9670.19,9517.73,1.44279181,-236.57,-1.6946,7.67,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
16,1592942400000,1593000000000,9643.88,9327.59,1.422212,-466.02,-3.3957,0.67,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
17,1594252800000,1594368000000,9439.83,9151.33,1.40361545,-420.61,-3.1725,1.33,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
18,1594440000000,1594468800000,9271.9,9196.69,1.38370177,-119.4,-0.9301,0.33,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
19,1595707200000,1596355200000,9678.01,11321.42,1.31330873,2141.76,16.8406,7.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
20,1596398400000,1597176000000,11207.28,11382.5,1.32509282,214.21,1.4416,9.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
21,1597233600000,1597809600000,11465.02,11832.38,1.31397665,464.32,3.0803,6.67,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
22,1597838400000,1598371200000,11846.89,11414.85,1.31079321,-584.6,-3.7624,6.17,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
23,1598846400000,1599048000000,11683.75,11401.45,1.27908972,-378.81,-2.5332,2.33,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
24,1600416000000,1600689600000,10958.52,10632.21,1.32919249,-450.96,-3.0941,3.17,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
25,1601308800000,1601625600000,10906.25,10486.68,1.29423937,-559.63,-3.9623,3.67,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
26,1602216000000,1603915200000,10891.54,13160.05,1.2446365,2805.52,20.6834,19.67,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
27,1603958400000,1604779200000,13144.13,14637.66,1.2446503,1838.18,11.2292,9.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
28,1605081600000,1606363200000,15406.66,17920.81,1.18110749,2945.86,16.1791,14.83,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
29,1606507200000,1607428800000,16809.86,18755.45,1.25765565,2420.04,11.4403,10.67,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
30,1607644800000,1609761600000,18262.11,30730.69,1.29008095,16047.56,68.0739,24.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
