strategy,period,return_pct,max_dd_pct,sharpe,start_nav,end_nav
v4,2020,145.79,13.28,2.71,10000.0,24578.78
v4,2021,108.28,22.58,1.64,24925.54,51915.41
v4,2022,0.02,9.08,0.0,51915.41,51923.2
v4,2023,73.53,14.39,1.79,51923.2,90101.67
v4,2024,112.98,11.29,2.32,93943.46,200084.74
v4,2025,16.83,7.61,1.05,200084.74,233750.73
v4,2026,0.0,0.0,0.0,233750.73,233750.73
e5,2020,273.14,23.28,2.67,10000.0,37313.82
e5,2021,145.76,21.97,1.71,37840.25,92995.09
e5,2022,-21.25,29.45,-1.05,92995.09,73233.17
e5,2023,57.43,30.05,1.34,73233.17,115294.51
e5,2024,92.5,21.26,1.75,120464.24,231898.03
e5,2025,8.46,11.35,0.39,231898.03,251506.3
e5,2026,-0.47,7.25,-0.17,251506.3,250320.85
